policy,overall_accuracy
oracle_order_or_capacity,0.882262996941896
capacity_context_calibrated_gate,0.8486238532110092
order_capacity_context_gate,0.8486238532110092
order_capacity_context_calibrated_gate,0.8470948012232415
full_local_context_gate,0.8470948012232415
full_local_context_calibrated_gate,0.8470948012232415
coherence_margin_gate,0.8440366972477065
score_only_calibrated_gate,0.8440366972477065
capacity_context_gate,0.8379204892966361
threshold_gate,0.8363914373088684
score_only_gate,0.8363914373088684
capacity_only,0.8241590214067278
order_plus_flow,0.8027522935779816
