gate,bucket,open_rate,count
coherence_margin_open,capacity_only,0.6153846153846154,52
coherence_margin_open,order_only,0.13157894736842105,38
coherence_margin_open,both_wrong,0.0,77
coherence_margin_open,both_correct,0.0,487
threshold_open,capacity_only,0.9230769230769231,52
threshold_open,order_only,0.6842105263157895,38
threshold_open,both_wrong,0.0,77
threshold_open,both_correct,0.0,487
score_only_gate_open,capacity_only,0.7115384615384616,52
score_only_gate_open,order_only,0.39473684210526316,38
score_only_gate_open,both_wrong,0.0,77
score_only_gate_open,both_correct,0.0,487
score_only_calibrated_open,capacity_only,0.5769230769230769,52
score_only_calibrated_open,order_only,0.07894736842105263,38
score_only_calibrated_open,both_wrong,0.0,77
score_only_calibrated_open,both_correct,0.0,487
capacity_context_gate_open,capacity_only,0.6730769230769231,52
capacity_context_gate_open,order_only,0.3157894736842105,38
capacity_context_gate_open,both_wrong,0.0,77
capacity_context_gate_open,both_correct,0.0,487
capacity_context_calibrated_open,capacity_only,0.6153846153846154,52
capacity_context_calibrated_open,order_only,0.05263157894736842,38
capacity_context_calibrated_open,both_wrong,0.0,77
capacity_context_calibrated_open,both_correct,0.0,487
order_capacity_context_gate_open,capacity_only,0.7884615384615384,52
order_capacity_context_gate_open,order_only,0.2894736842105263,38
order_capacity_context_gate_open,both_wrong,0.0,77
order_capacity_context_gate_open,both_correct,0.0,487
order_capacity_context_calibrated_open,capacity_only,0.6538461538461539,52
order_capacity_context_calibrated_open,order_only,0.13157894736842105,38
order_capacity_context_calibrated_open,both_wrong,0.0,77
order_capacity_context_calibrated_open,both_correct,0.0,487
full_local_context_gate_open,capacity_only,0.7884615384615384,52
full_local_context_gate_open,order_only,0.3157894736842105,38
full_local_context_gate_open,both_wrong,0.0,77
full_local_context_gate_open,both_correct,0.0,487
full_local_context_calibrated_open,capacity_only,0.6346153846153846,52
full_local_context_calibrated_open,order_only,0.10526315789473684,38
full_local_context_calibrated_open,both_wrong,0.0,77
full_local_context_calibrated_open,both_correct,0.0,487
