seed,policy,replay_accuracy,false_write_rate,missed_write_rate,public_bits
1618,thresholded_projection,1.0,0.0,0.0,264576
1618,always_write,0.0,1.0,0.0,419512
1618,never_write,0.0008333333333333334,0.0,1.0,190056
1618,shuffled_projection,0.0,0.29460093896713613,0.7212643678160919,263840
1618,raw_state_leak_cheat,1.0,0.0,0.0,264976
2718,thresholded_projection,1.0,0.0,0.0,265184
2718,always_write,0.0,1.0,0.0,419648
2718,never_write,0.0016666666666666668,0.0,1.0,190304
2718,shuffled_projection,0.0008333333333333334,0.2811764705882353,0.6828571428571428,265544
2718,raw_state_leak_cheat,1.0,0.0,0.0,265000
3141,thresholded_projection,1.0,0.0,0.0,268408
3141,always_write,0.0,1.0,0.0,419920
3141,never_write,0.0025,0.0,1.0,189664
3141,shuffled_projection,0.0016666666666666668,0.297719087635054,0.6757493188010899,268984
3141,raw_state_leak_cheat,1.0,0.0,0.0,268376
5772,thresholded_projection,1.0,0.0,0.0,268344
5772,always_write,0.0025,1.0,0.0,419600
5772,never_write,0.0,0.0,1.0,189968
5772,shuffled_projection,0.0,0.30815347721822545,0.7021857923497268,268120
5772,raw_state_leak_cheat,1.0,0.0,0.0,268128
8111,thresholded_projection,1.0,0.0,0.0,266992
8111,always_write,0.0008333333333333334,1.0,0.0,419824
8111,never_write,0.0,0.0,1.0,190208
8111,shuffled_projection,0.0,0.3009478672985782,0.7134831460674157,266752
8111,raw_state_leak_cheat,1.0,0.0,0.0,266840
