scenario,switcher,target_family_accuracy
clean_current,always_generic_ternary,0.7470311449697513
clean_current,full_local_switcher,0.7470311449697513
clean_current,strange_familiar_all_four,1.0
clean_current,groove_compass,0.8577190230786467
clean_current,belief_all_axes,0.8200761819403989
cross_family_mid,always_generic_ternary,0.7547212230215827
cross_family_mid,full_local_switcher,0.7547212230215827
cross_family_mid,strange_familiar_all_four,0.4386241007194245
cross_family_mid,groove_compass,0.7585431654676259
cross_family_mid,belief_all_axes,0.7713579136690647
delayed_uniform_mid,always_generic_ternary,0.7469613259668508
delayed_uniform_mid,full_local_switcher,0.7916022099447514
delayed_uniform_mid,strange_familiar_all_four,0.5474033149171271
delayed_uniform_mid,groove_compass,0.7277348066298343
delayed_uniform_mid,belief_all_axes,0.7803314917127072
gaussian_mix_mid,always_generic_ternary,0.765380374862183
gaussian_mix_mid,full_local_switcher,0.7664829106945976
gaussian_mix_mid,strange_familiar_all_four,0.5810363836824697
gaussian_mix_mid,groove_compass,0.874090407938258
gaussian_mix_mid,belief_all_axes,0.8630650496141125
permute_mix_mid,always_generic_ternary,0.7557200538358008
permute_mix_mid,full_local_switcher,0.7617765814266487
permute_mix_mid,strange_familiar_all_four,0.6870794078061911
permute_mix_mid,groove_compass,0.8436518618214446
permute_mix_mid,belief_all_axes,0.8183041722745625
uniform_mix_mid,always_generic_ternary,0.748893547635686
uniform_mix_mid,full_local_switcher,0.9061262520382017
uniform_mix_mid,strange_familiar_all_four,0.8816678313533659
uniform_mix_mid,groove_compass,0.9569065921267179
uniform_mix_mid,belief_all_axes,0.9555089680875845
