probe_id,policy,split,accuracy,f1,false_write_rate,missed_write_rate,compressed_bits,leakage,selected_model
CAC-002,public_collapse_detector,train,0.4338888888888889,0.12756849315068494,0.5873247663551402,0.1534090909090909,592,0.0,threshold=0.6397
CAC-002,public_collapse_detector,test,0.44583333333333336,0.11998235553595059,0.5730892182505086,0.14465408805031446,592,0.0,threshold=0.6397
CAC-002,amplitude_only,train,0.8883333333333333,0.3578274760383387,0.09871495327102804,0.36363636363636365,528,0.0,threshold=0.6606
CAC-002,amplitude_only,test,0.8930555555555556,0.32809773123909247,0.0929962220284801,0.4088050314465409,528,0.0,threshold=0.6606
CAC-002,slope_only,train,0.07555555555555556,0.08971553610503283,0.9684579439252337,0.06818181818181818,512,0.0,threshold=-0.2795
CAC-002,slope_only,test,0.07194444444444445,0.07986780501239328,0.966870095902354,0.0880503144654088,512,0.0,threshold=-0.2795
CAC-002,shuffled_phase_control,train,0.20833333333333334,0.09408773045136681,0.8241822429906542,0.1590909090909091,592,0.0,threshold=0.2211
CAC-002,shuffled_phase_control,test,0.19416666666666665,0.08225245175577349,0.8346410927056088,0.18238993710691823,592,0.0,threshold=0.2211
CAC-002,random_control,train,0.19555555555555557,0.09669369931378664,0.8396612149532711,0.11931818181818182,536,0.0,threshold=0.1590
CAC-002,random_control,test,0.185,0.07909604519774012,0.8430688753269399,0.20754716981132076,536,0.0,threshold=0.1590
NET-002,true_topology,train,0.9932098765432099,0.9956941919433547,0.005801211808688926,0.0,352,0.0,true_topology
NET-002,ring_only,train,0.9860339506172839,0.9918745817799446,0.009024107257960552,0.0028829521429944265,440,0.0,ring_only
NET-002,shuffled_a,train,0.9772376543209876,0.9869906255978572,0.011860255253319582,0.008456659619450317,448,0.0,shuffled_a
NET-002,shuffled_b,train,0.973533950617284,0.985460110962311,0.012891581797086502,0.00999423409571401,448,0.0,shuffled_b
NET-002,selected_topology,train,0.9932098765432099,0.9956941919433547,0.005801211808688926,0.0,376,0.0,true_topology
NET-002,flat_node_only,train,0.9521604938271605,0.9692307692307692,0.0029650638133298956,0.05554487795502595,280,0.0,none
NET-002,true_topology,test,0.9923611111111111,0.9949043361215267,0.006807089648086309,0.0,352,0.0,true_topology
NET-002,ring_only,test,0.9854166666666667,0.99021113243762,0.011173901875160545,0.0028991109393119445,440,0.0,ring_only
NET-002,shuffled_a,test,0.9785493827160494,0.9875024033839646,0.011816080143847931,0.007344414379590259,448,0.0,shuffled_a
NET-002,shuffled_b,test,0.9748456790123456,0.9842489435266999,0.014641664526072438,0.009663703131039814,448,0.0,shuffled_b
NET-002,selected_topology,test,0.9923611111111111,0.9949043361215267,0.006807089648086309,0.0,376,0.0,true_topology
NET-002,flat_node_only,test,0.9523148148148148,0.969004569839062,0.001926534806062163,0.057402396598376496,280,0.0,none
CAS-002,nested_projection,train,0.73,0.4346959122632104,0.22281323877068557,0.46568627450980393,552,0.0,threshold=0.5999
CAS-002,nested_projection,test,0.7352380952380952,0.45914396887159536,0.22235434007134364,0.4354066985645933,552,0.0,threshold=0.5999
CAS-002,one_step_external,train,0.6009523809523809,0.38063562453806354,0.40632387706855794,0.36887254901960786,536,0.0,threshold=0.5430
CAS-002,one_step_external,test,0.6026190476190476,0.40456653585444163,0.4161712247324614,0.32177033492822965,536,0.0,threshold=0.5430
CAS-002,overcompressed_sensory,train,0.6702380952380952,0.38471790315415366,0.29609929078014185,0.4693627450980392,568,0.0,threshold=0.6121
CAS-002,overcompressed_sensory,test,0.6676190476190477,0.39304347826086955,0.30083234244946494,0.45933014354066987,568,0.0,threshold=0.6121
CAS-002,flat_public_combo,train,0.6716666666666666,0.4232538686741949,0.31589834515366433,0.3799019607843137,536,0.0,threshold=0.5664
CAS-002,flat_public_combo,test,0.68,0.43765690376569044,0.30648038049940546,0.37440191387559807,536,0.0,threshold=0.5664
CAS-002,leaky_hidden_oracle,train,0.6864285714285714,0.4325721671693236,0.29639479905437355,0.38480392156862747,560,1.0,threshold=0.6499
CAS-002,leaky_hidden_oracle,test,0.6902380952380952,0.45174884112937214,0.2975624256837099,0.3588516746411483,560,1.0,threshold=0.6499
