anchor,offset,mean_composite_score,mean_phase_lock_resistance,mean_delayed_retention,mean_pollution,mean_rigidity_after_zipping
golden,-0.06,0.771493869949893,0.6742369139547646,0.7333085053674335,0.1851581221656259,0.9617919921875
golden,-0.054,0.7867205785872384,0.6991130995648586,0.7359990661194855,0.1541111617354927,0.9635009765625
golden,-0.048,0.7825584324664592,0.6900726250917959,0.7217008742338135,0.14359372593929476,0.9610595703125
golden,-0.042,0.781264198964863,0.6687621810893375,0.6567443928940848,0.043320091892409304,0.96307373046875
golden,-0.036000000000000004,0.7674592641259694,0.6778800005488426,0.6562244628529014,0.12408296524951383,0.962158203125
golden,-0.030000000000000006,0.7746505887603978,0.6604037858359345,0.6434220310257092,0.047735199849170434,0.9630126953125
golden,-0.024000000000000007,0.7557667194815104,0.5954428560688101,0.6080539942715693,0.010391135620915032,0.96319580078125
golden,-0.01800000000000001,0.7415838649100943,0.6017654724497261,0.5967899634733398,0.07473593757840333,0.96246337890625
golden,-0.01200000000000001,0.7494621163673171,0.5969116129399417,0.5956501123605145,0.019368955643200608,0.95538330078125
golden,-0.006000000000000012,0.7794571348283401,0.6724990637814195,0.6566923358478329,0.05488786113843609,0.96099853515625
golden,-1.3877787807814457e-17,0.7644479921834199,0.6405959961014258,0.6335510345076262,0.06006319456529846,0.96343994140625
golden,0.0059999999999999845,0.7757351991991333,0.7314602532743,0.6467873760613918,0.1453413348620238,0.9615478515625
golden,0.011999999999999983,0.8050858635732843,0.7531575404053779,0.7250859434100856,0.12238538641821059,0.962158203125
golden,0.01799999999999998,0.8165257307870513,0.7357662197858506,0.7726866350999435,0.0963477033848667,0.960205078125
golden,0.02399999999999998,0.8102014743508671,0.6998326724009706,0.7645058388061808,0.06835775898694069,0.961669921875
golden,0.029999999999999978,0.8242895353390972,0.7394202003349193,0.7990604914295957,0.09414639661391574,0.9600830078125
golden,0.035999999999999976,0.8021728814371567,0.6490548008277419,0.8200593108394165,0.10391717838660507,0.95867919921875
golden,0.041999999999999975,0.791477676659603,0.6375902996335812,0.789262827583789,0.10726798007079552,0.96282958984375
golden,0.04799999999999997,0.8072317129750332,0.6608346003611554,0.8357551554368683,0.11586625746719362,0.961181640625
golden,0.05399999999999997,0.7904724719423443,0.6101741172362548,0.8071723389365765,0.0912523712991769,0.96221923828125
