regime,policy,split,f1,accuracy,false_write_rate,missed_write_rate,auc_like,leakage
stable,raw_external,train,0.1354950781702374,0.8642727272727273,0.11606890708839311,0.6896551724137931,0.707263483642794,0.0
stable,raw_external,test,0.11176470588235293,0.8627272727272727,0.11924627355395144,0.7147147147147147,0.6995745745745746,0.0
stable,depth_1,train,0.21208665906499433,0.9371818181818182,0.03831309422950202,0.753315649867374,0.8010610079575596,0.0
stable,depth_1,test,0.20322180916976457,0.9415454545454546,0.036748851598387554,0.7537537537537538,0.8068918918918919,0.0
stable,depth_2,train,0.3541453428863869,0.9426363636363636,0.040195801562647085,0.5411140583554377,0.8895181255526083,0.0
stable,depth_2,test,0.3227917121046892,0.9435454545454546,0.040873722696165744,0.5555555555555556,0.8898398398398398,0.0
stable,depth_3,train,0.5272067714631198,0.9644545454545455,0.021839405064482727,0.4217506631299735,0.9615738284703802,0.0
stable,depth_3,test,0.48437499999999994,0.964,0.023343020530608417,0.44144144144144143,0.955920920920921,0.0
stable,depth_4,train,0.6311970979443773,0.9722727272727273,0.017791584298220843,0.3076923076923077,0.9837975243147657,0.0
stable,depth_4,test,0.5976408912188729,0.9720909090909091,0.018936908221618073,0.3153153153153153,0.9793693693693694,0.0
stable,depth_5,train,0.6271379703534777,0.9702727272727273,0.021180457497881954,0.27055702917771884,0.9844164456233422,0.0
stable,depth_5,test,0.5761006289308177,0.9693636363636363,0.021843067404143622,0.3123123123123123,0.978043043043043,0.0
stable,depth_6,train,0.6383526383526383,0.9744545454545455,0.014308575731902477,0.3421750663129973,0.98184350132626,0.0
stable,depth_6,test,0.5899280575539569,0.9740909090909091,0.01471829005343583,0.3843843843843844,0.9783283283283283,0.0
stable,depth_7,train,0.640990371389271,0.9762727272727273,0.011013837898898616,0.3819628647214854,0.9809416445623342,0.0
stable,depth_7,test,0.5780525502318392,0.9751818181818181,0.011905877941314334,0.43843843843843844,0.9788638638638638,0.0
stable,overdeep_7,train,0.640990371389271,0.9762727272727273,0.011013837898898616,0.3819628647214854,0.9809416445623342,0.0
stable,overdeep_7,test,0.5780525502318392,0.9751818181818181,0.011905877941314334,0.43843843843843844,0.9788638638638638,0.0
stable,leaky_mid,train,0.6336154776299879,0.9724545454545455,0.017697448931563588,0.3050397877984085,0.9838859416445623,1.0
stable,leaky_mid,test,0.604954367666232,0.9724545454545455,0.018936908221618073,0.3033033033033033,0.9796046046046046,1.0
stable,source_oracle,train,0.16126601356443104,0.8988181818181818,0.07935611409206439,0.7161803713527851,0.7337975243147657,1.0
stable,source_oracle,test,0.15293244246473645,0.8962727272727272,0.08540358113808943,0.6906906906906907,0.7516166166166166,1.0
stable,shuffled_label_control,train,0.14022689231913707,0.5797272727272728,0.4351878000564812,0.0,0.9789699381078691,0.0
