flow,family,alpha,offset,window_width,beta,fit_budget,importance_weight,retouch_gain,nest_decay,write_threshold,rupture_threshold,write_count,hold_count,fade_count,rupture_count,collapse_success,hold_to_write,retouch_survival,fade_rate,rupture_rate,rewrite_drift,mean_fit_error,pollution,phase_lock_resistance,composite_score
golden,phi,0.5820339887498948,-0.036,0.16,0.0,0.34,0.18,0.18,0.95,0.64,1.25,0.0,45.0,1605.0,820.0,0.06298299845440494,0.0,0.0,0.6497975708502024,0.3319838056680162,0.0,0.8400676743650871,0.0,0.5896104180960653,0.27940093633645496
golden,phi,0.5940339887498948,-0.023999999999999997,0.16,0.0,0.34,0.18,0.18,0.95,0.64,1.25,0.0,34.0,1644.0,788.0,0.05,0.0,0.0,0.6666666666666666,0.3195458231954582,0.0,0.828506666002918,0.0,0.6212041536959185,0.2832530818096287
golden,phi,0.6060339887498948,-0.011999999999999997,0.16,0.0,0.34,0.18,0.18,0.95,0.64,1.25,0.0,24.0,1747.0,750.0,0.0336687306501548,0.0,0.0,0.6929789765965887,0.29750099166997224,0.0,0.8138834499026868,0.0,0.5830768636362047,0.27428863981614543
golden,phi,0.6180339887498948,3.469446951953614e-18,0.16,0.0,0.34,0.18,0.18,0.95,0.64,1.25,0.0,0.0,1544.0,1228.0,0.0,0.0,0.0,0.556998556998557,0.443001443001443,0.0,0.929449103099823,0.0,0.37805465876447386,0.2291898097175764
golden,phi,0.6300339887498948,0.012000000000000004,0.16,0.0,0.34,0.18,0.18,0.95,0.64,1.25,0.0,0.0,2032.0,690.0,0.010541621228644129,0.0,0.0,0.7465099191770757,0.25349008082292435,0.0,0.7845712878305343,0.0,0.452789514529525,0.24790813797086617
golden,phi,0.6420339887498948,0.024000000000000004,0.16,0.0,0.34,0.18,0.18,0.95,0.64,1.25,0.0,0.0,2098.0,637.0,0.0003654970760233918,0.0,0.0,0.7670932358318099,0.23290676416819012,0.0,0.7663938019686158,0.0,0.5810921757927521,0.26998962594997483
golden,phi,0.6540339887498948,0.036000000000000004,0.16,0.0,0.34,0.18,0.18,0.95,0.64,1.25,0.0,0.0,2139.0,589.0,0.0,0.0,0.0,0.7840909090909091,0.2159090909090909,0.0,0.7465868954632677,0.0,0.5274332873208825,0.260619809899577
golden,phi,0.5820339887498948,-0.036,0.16,0.0,0.34,0.18,0.18,0.98,0.82,0.85,0.0,41.0,937.0,1644.0,0.059402332361516035,0.0,0.0,0.35736079328756676,0.6270022883295194,0.0,0.8400676743650871,0.0,0.4394207081303504,0.24581022333045974
golden,phi,0.5940339887498948,-0.023999999999999997,0.16,0.0,0.34,0.18,0.18,0.98,0.82,0.85,0.0,25.0,1022.0,1614.0,0.04630969609261939,0.0,0.0,0.3840661405486659,0.6065388951521984,0.0,0.828506666002918,0.0,0.4710509131725156,0.24970544177892368
golden,phi,0.6060339887498948,-0.011999999999999997,0.16,0.0,0.34,0.18,0.18,0.98,0.82,0.85,0.0,5.0,1091.0,1600.0,0.03131749460043196,0.0,0.0,0.40467359050445106,0.5934718100890207,0.0,0.8138834499026868,0.0,0.5120502380490171,0.25479533185549486
golden,phi,0.6180339887498948,3.469446951953614e-18,0.16,0.0,0.34,0.18,0.18,0.98,0.82,0.85,0.0,0.0,972.0,1800.0,0.0,0.0,0.0,0.35064935064935066,0.6493506493506493,0.0,0.929449103099823,0.0,0.38963558387837416,0.22714739211109436
