flow,family,alpha,best_delay,best_slot_count,context_pressure,similarity_threshold,recall_window,recall_gain,layer_window,recency_decay,resonance_gain,interference_radius,interference_gain,competition_gain,basin_radius,split_threshold,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_slot_recall_rate,same_region_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,interference_coherence_rate,pollution,phase_lock_resistance,score
golden,phi,0.6180339887498948,13,13,0.04,0.58,13,0.14,8,0.55,0.14,4,0.04,0.04,2,0.36,0.9448094612352168,0.4858108108108108,0.003952569169960474,0.1603613777526821,0.49385749385749383,0.20085995085995087,0.49385749385749383,0.14803439803439802,0.0,0.5061425061425061,1.0,0.10257245197004233,0.4554829225828393,0.7943747989005042
golden,phi,0.6180339887498948,13,13,0.04,0.58,13,0.14,8,0.72,0.08,4,0.08,0.08,2,0.36,0.9332460732984293,0.4827352742044685,0.003952569169960474,0.16205533596837945,0.5633626097867002,0.23212045169385195,0.5633626097867002,0.15934755332496864,0.0,0.4366373902132999,1.0,0.0986649299902312,0.45781843260441457,0.7938275561010907
golden,phi,0.6180339887498948,13,13,0.04,0.58,13,0.14,8,0.72,0.08,6,0.08,0.08,2,0.36,0.9535809018567639,0.4881194840461643,0.003952569169960474,0.16431394692264256,0.5550742574257426,0.22524752475247525,0.5550742574257426,0.16274752475247525,0.0,0.44492574257425743,1.0,0.10257245197004233,0.48264508597832634,0.7987081220525364
golden,phi,0.6180339887498948,13,13,0.04,0.58,13,0.2,8,0.55,0.08,6,0.12,0.08,2,0.24,0.9782923299565847,0.49451353328456477,0.003952569169960474,0.22416713721061546,0.501589319771138,0.20788302606484424,0.501589319771138,0.24793388429752067,0.0,0.49841068022886204,1.0,0.10615434711820254,0.44537948226543744,0.7665756242187743
golden,phi,0.6180339887498948,13,13,0.04,0.58,13,0.2,8,0.72,0.14,4,0.04,0.08,2,0.36,0.9427012278308322,0.48525280898876405,0.003952569169960474,0.1919819311123659,0.5216010165184244,0.21728081321473952,0.5216010165184244,0.18297331639135958,0.0,0.4783989834815756,1.0,0.09768804949527841,0.4837549593307171,0.7891734347704578
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.08,8,0.72,0.08,4,0.08,0.04,2,0.36,0.9565789473684211,0.48890383322125086,0.003952569169960474,0.15640880858272163,0.5471698113207547,0.31217838765008576,0.5471698113207547,0.1377930245854774,0.0,0.4528301886792453,1.0,0.10485183979159883,0.48257300502823897,0.8175055719959078
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.08,13,0.55,0.08,6,0.04,0.04,2,0.24,0.9543568464730291,0.4883227176220807,0.004517221908526256,0.1976284584980237,0.5037507212925563,0.24927870744373917,0.5037507212925563,0.19907674552798615,0.0,0.49624927870744373,1.0,0.10126994464343862,0.47640818337582136,0.7882804718700647
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.14,13,0.55,0.14,6,0.04,0.08,2,0.24,0.9347826086956522,0.48314606741573035,0.003952569169960474,0.2422360248447205,0.48842592592592593,0.24363425925925927,0.48842592592592593,0.21296296296296297,0.0,0.5115740740740741,1.0,0.10029306414848584,0.44864514130932387,0.7731106470604506
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.14,13,0.72,0.08,4,0.04,0.08,2,0.24,0.9589442815249267,0.48952095808383234,0.004517221908526256,0.24110671936758893,0.5380116959064327,0.2783625730994152,0.5380116959064327,0.2415204678362573,0.0,0.4619883040935672,1.0,0.09996743731683491,0.47428333882351503,0.7774992639753111
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.2,8,0.72,0.14,4,0.12,0.08,2,0.36,0.8337988826815642,0.4546839299314547,0.003952569169960474,0.2546583850931677,0.5052570093457944,0.25350467289719625,0.5052570093457944,0.16004672897196262,0.0,0.4947429906542056,1.0,0.08108108108108109,0.48192768825376797,0.7819357712218511
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.2,13,0.72,0.08,4,0.12,0.08,2,0.24,0.9553846153846154,0.4885916601101495,0.003952569169960474,0.27837380011293056,0.5413752913752914,0.26048951048951047,0.5413752913752914,0.2686480186480186,0.0,0.4586247086247086,1.0,0.0986649299902312,0.47475758795919265,0.7655295773990068
golden,phi,0.6180339887498948,13,13,0.04,0.68,13,0.14,8,0.72,0.14,6,0.04,0.08,2,0.36,0.9505703422053232,0.4873294346978557,0.003952569169960474,0.12704686617730096,0.4194139194139194,0.16056166056166057,0.4194139194139194,0.11416361416361416,0.0,0.5805860805860806,1.0,0.10061869098013676,0.48250340220610377,0.7910694018128864
golden,phi,0.6180339887498948,13,13,0.04,0.68,13,0.14,13,0.55,0.08,4,0.12,0.04,2,0.36,0.9620253164556962,0.49032258064516127,0.003952569169960474,0.12083568605307736,0.41460470730235366,0.14846107423053712,0.41460470730235366,0.11466505733252867,0.0,0.5853952926976463,1.0,0.10680560078150439,0.48290006248708883,0.7889132029439675
golden,phi,0.6180339887498948,13,13,0.04,0.68,13,0.2,8,0.55,0.08,6,0.04,0.08,2,0.36,0.9666238767650834,0.4915143603133159,0.003952569169960474,0.13099943534726144,0.41904184354154034,0.14251061249241964,0.41904184354154034,0.1255306246209824,0.0,0.5809581564584597,1.0,0.10354933246499512,0.48251350133545234,0.7876175501111022
golden,phi,0.6180339887498948,13,13,0.04,0.68,13,0.2,8,0.55,0.08,6,0.12,0.08,2,0.36,0.95703125,0.48902195608782434,0.003952569169960474,0.14737436476566912,0.41544117647058826,0.15379901960784315,0.41544117647058826,0.13786764705882354,0.0,0.5845588235294118,1.0,0.10680560078150439,0.4844471165873111,0.7813571431858986
golden,phi,0.6180339887498948,13,13,0.04,0.68,13,0.2,8,0.72,0.08,6,0.12,0.08,2,0.36,0.9511228533685601,0.48747461069735953,0.003952569169960474,0.16205533596837945,0.4476309226932668,0.17643391521197008,0.4476309226932668,0.15586034912718205,0.0,0.5523690773067331,1.0,0.10159557147508955,0.4581149800504615,0.7811408595277822
golden,phi,0.6180339887498948,13,13,0.04,0.68,21,0.08,8,0.72,0.14,6,0.04,0.08,2,0.36,0.9300254452926209,0.4818721160184575,0.003952569169960474,0.13946922642574816,0.41824440619621345,0.21457257601835916,0.41824440619621345,0.10499139414802065,0.0,0.5817555938037866,1.0,0.09996743731683491,0.4574275940726461,0.7926254025139149
golden,phi,0.6180339887498948,13,13,0.04,0.68,21,0.14,8,0.55,0.08,4,0.08,0.08,2,0.36,0.9473684210526315,0.4864864864864865,0.003952569169960474,0.13946922642574816,0.4142283419391853,0.2076878944348824,0.4142283419391853,0.11761331038439472,0.0,0.5857716580608147,1.0,0.10322370563334418,0.48097781055140365,0.7916432966893765
golden,phi,0.6180339887498948,13,13,0.04,0.68,21,0.14,8,0.55,0.14,6,0.04,0.04,2,0.36,0.917098445595855,0.4783783783783784,0.003952569169960474,0.1603613777526821,0.402073732718894,0.1860599078341014,0.402073732718894,0.11578341013824885,0.0,0.597926267281106,1.0,0.09736242266362748,0.4803790440732494,0.7780162919247644
