prime_cutoff,coupling,prime,length,coefficient_real,coefficient_imag,coefficient_abs,target,relative_complex_error
29,identity,2,0.6931471805599453,-0.1560129290391036,0.0,0.1560129290391036,-0.1560129290391036,0.0
29,identity,3,1.0986122886681098,-0.20189889986939868,0.0,0.20189889986939868,-0.20189889986939863,1.7503560684860408e-16
29,identity,5,1.6094379124341003,-0.22910752440522542,0.0,0.22910752440522542,-0.22910752440522542,0.0
29,identity,7,1.9459101490553132,-0.23411211608563706,0.0,0.23411211608563706,-0.23411211608563706,0.0
29,identity,11,2.3978952727983707,-0.23013570108523154,0.0,0.23013570108523154,-0.23013570108523154,0.0
29,identity,13,2.5649493574615367,-0.22644213759952758,0.0,0.22644213759952758,-0.22644213759952758,0.0
29,identity,17,2.833213344056216,-0.21872828371837585,0.0,0.21872828371837585,-0.21872828371837585,0.0
29,identity,19,2.9444389791664403,-0.2150185284112772,0.0,0.2150185284112772,-0.2150185284112772,0.0
29,identity,23,3.1354942159291497,-0.20810964733659634,0.0,0.20810964733659634,-0.20810964733659634,0.0
29,identity,29,3.367295829986474,-0.19903635093398103,0.0,0.19903635093398103,-0.1990363509339811,1.7755297610147404e-16
29,dft,2,0.6931471805599453,-0.012329150508060209,-0.00024211341904199345,0.012331527527361788,-0.1560129290391036,0.9209748410063395
29,dft,3,1.0986122886681098,0.003694290877235675,0.012178444917557206,0.012726441203085867,-0.20189889986939863,1.0200826950159754
29,dft,5,1.6094379124341003,0.004192146851041603,0.0031733721301661004,0.005257792873175299,-0.22910752440522542,1.0183919239304589
29,dft,7,1.9459101490553132,-0.0017602401026905676,-0.005802733960226996,0.006063840914164204,-0.23411211608563706,0.9927906638983964
29,dft,11,2.3978952727983707,0.014923362838438986,0.000293057206014143,0.01492624001326853,-0.23013570108523154,1.0648466882635783
29,dft,13,2.5649493574615367,-0.01789492199798197,-0.0003514111329560223,0.01789837207955585,-0.22644213759952758,0.9209748410063395
29,dft,17,2.833213344056216,0.004002230342299663,0.013193585288969611,0.013787260079150584,-0.21872828371837585,1.0200826950159758
