gate,scenario,open_rate
opportunity_linear_gate,cross_family_0.30,0.017169923031379514
opportunity_linear_gate,cross_family_0.45,0.12030075187969924
opportunity_linear_gate,cross_family_0.60,0.15263476680799515
opportunity_linear_gate,current,0.009236453201970444
opportunity_linear_gate,delayed_uniform_0.60,0.011827321111768185
opportunity_linear_gate,gaussian_mix_0.60,0.05263157894736842
opportunity_linear_gate,permute_mix_0.60,0.05729474305965741
opportunity_linear_gate,uniform_mix_0.60,0.08974358974358974
coherence_linear_gate,cross_family_0.30,0.8839550029603316
coherence_linear_gate,cross_family_0.45,0.9612492770387507
coherence_linear_gate,cross_family_0.60,0.9739551786795881
coherence_linear_gate,current,0.37992610837438423
coherence_linear_gate,delayed_uniform_0.60,0.004139562389118865
coherence_linear_gate,gaussian_mix_0.60,0.0012239902080783353
coherence_linear_gate,permute_mix_0.60,0.0005906674542232723
coherence_linear_gate,uniform_mix_0.60,0.024475524475524476
coherence_disagreement_gate,cross_family_0.30,0.03078744819419775
coherence_disagreement_gate,cross_family_0.45,0.11856564488143435
coherence_disagreement_gate,cross_family_0.60,0.15687462144155057
coherence_disagreement_gate,current,0.022167487684729065
coherence_disagreement_gate,delayed_uniform_0.60,0.0005913660555884093
coherence_disagreement_gate,gaussian_mix_0.60,0.0012239902080783353
coherence_disagreement_gate,permute_mix_0.60,0.0
coherence_disagreement_gate,uniform_mix_0.60,0.002331002331002331
coherence_margin_gate,cross_family_0.30,0.027235050325636473
coherence_margin_gate,cross_family_0.45,0.11683053788316947
coherence_margin_gate,cross_family_0.60,0.15263476680799515
coherence_margin_gate,current,0.022167487684729065
coherence_margin_gate,delayed_uniform_0.60,0.0005913660555884093
coherence_margin_gate,gaussian_mix_0.60,0.0012239902080783353
coherence_margin_gate,permute_mix_0.60,0.0
coherence_margin_gate,uniform_mix_0.60,0.0017482517482517483
threshold_gate,cross_family_0.30,0.017761989342806393
threshold_gate,cross_family_0.45,0.0989010989010989
threshold_gate,cross_family_0.60,0.14354936402180496
threshold_gate,current,0.04926108374384237
threshold_gate,delayed_uniform_0.60,0.017740981667652277
threshold_gate,gaussian_mix_0.60,0.05507955936352509
threshold_gate,permute_mix_0.60,0.10513880685174247
threshold_gate,uniform_mix_0.60,0.08333333333333333
