family,noise_level,access_fidelity,repair_score,repair_gain,identity_restore,scene_restore,direction_restore,avg_switch_paid,score_raw,score_net
binary_abelian,0.0,0.9986019327705381,0.8833700630614262,0.48177979766015594,0.8839747801643864,0.8833700630614262,0.8826999083867346,0.0,0.8461680815572983,0.8361680815572983
binary_abelian,0.15,0.9639321162645338,0.7456835461489641,0.3478340615703481,0.8087198642404175,0.7456835461489641,0.7449105375056121,0.0,0.7389953339025007,0.7289953339025007
binary_abelian,0.3,0.944795591932126,0.703133227675658,0.29663823659586114,0.7876314140271828,0.703133227675658,0.7024883736892094,0.0,0.7030694517197436,0.6930694517197435
binary_abelian,0.45,0.9343668379623026,0.6803066413725242,0.27555464053488493,0.7773324861271664,0.6803066413725242,0.6796020295538464,0.0,0.6848540655052288,0.6748540655052288
binary_abelian,0.6,0.9281355212291095,0.6704460252297129,0.2663390718542496,0.7750901701287636,0.6704460252297129,0.6696887181081139,0.0,0.6769509070898905,0.6669509070898905
binary_abelian,0.75,0.9241445579425949,0.6616876098094533,0.2631696072295246,0.7744356646219519,0.6616876098094533,0.6611802523040377,0.0,0.6712374036451547,0.6612374036451547
generic_ternary,0.0,0.9905713956729463,0.8671069301351898,0.26163581884972475,0.8734858894101544,0.8671069301351898,0.8662967749583722,0.0,0.8018144771646434,0.7918144771646434
generic_ternary,0.15,0.9545080576322392,0.7790934075572239,0.1785618740258491,0.8324934926578988,0.7790934075572239,0.7785678583171278,0.0,0.7320277879216075,0.7220277879216075
generic_ternary,0.3,0.9355687525477671,0.7535203385053469,0.16446344004420452,0.8235761808925579,0.7535203385053469,0.7528789708439833,0.0,0.7119836577535368,0.7019836577535368
generic_ternary,0.45,0.9265236708175831,0.7399724545567321,0.16004426989033935,0.8146206670661592,0.7399724545567321,0.7392316477167434,0.0,0.7013795809593592,0.6913795809593591
generic_ternary,0.6,0.9210860767478751,0.7353341640867892,0.15142018578832508,0.8171357822421356,0.7353341640867892,0.7350788031640626,0.0,0.6971293884591298,0.6871293884591297
generic_ternary,0.75,0.9173897197514783,0.728847829362804,0.15004069176052975,0.8121442227637059,0.728847829362804,0.7280177720088469,0.0,0.6921050872072394,0.6821050872072394
fibonacci,0.0,0.9997389500138626,0.9041684826166766,0.5416756732997721,0.90336183204491,0.9041684826166766,0.9028489250454581,0.0,0.8685897234771304,0.8585897234771304
fibonacci,0.15,0.9754707604161243,0.7528102720385831,0.3779267683321219,0.7998246795299744,0.7528102720385831,0.7510970868737622,0.0,0.7479050275071077,0.7379050275071077
fibonacci,0.3,0.9601386122709573,0.6973989401196387,0.3307963412251711,0.7695082837855645,0.6973989401196387,0.6955757249303978,0.0,0.705499403987235,0.695499403987235
fibonacci,0.45,0.9517191215783779,0.6702335558987563,0.3093747432496443,0.7564843162289161,0.6702335558987563,0.6687764694934928,0.0,0.6851208982260483,0.6751208982260483
fibonacci,0.6,0.9465381242346037,0.6554347159739824,0.2939928417589927,0.7468066650793358,0.6554347159739824,0.6534801450419468,0.0,0.672851723219856,0.662851723219856
fibonacci,0.75,0.9430508639599858,0.6433927085520905,0.2862342770058228,0.7416696548546333,0.6433927085520905,0.6415125562425033,0.0,0.6642100940006729,0.6542100940006729
tribonacci_control,0.0,0.9993201664997436,0.88514526608447,0.47516734834685115,0.8850074707818206,0.88514526608447,0.8841610331766568,0.0,0.8463152542753124,0.8363152542753124
tribonacci_control,0.15,0.9672461682714307,0.7432950390481413,0.34386400847715054,0.7995860716656021,0.7432950390481413,0.7423121671216806,0.0,0.7364668344108005,0.7264668344108005
tribonacci_control,0.3,0.948398397689502,0.7103850223610408,0.2881851815459034,0.7917451556078207,0.7103850223610408,0.7095392302657144,0.0,0.7067348724771805,0.6967348724771805
tribonacci_control,0.45,0.9386266196672436,0.6870028936008024,0.2647560691675164,0.778043531599448,0.6870028936008024,0.6861345434965642,0.0,0.6875164583332588,0.6775164583332588
tribonacci_control,0.6,0.9325100948057881,0.6655650208864343,0.26011634453441995,0.7639523281940487,0.6655650208864343,0.6646844539328359,0.0,0.6727627452706053,0.6627627452706053
tribonacci_control,0.75,0.9284942499686595,0.6613288096752376,0.25040838254986936,0.7628242919771387,0.6613288096752376,0.660493132986867,0.0,0.6682228045071463,0.6582228045071463
