policy,mode,repair_score,repair_gain,identity_restore,scene_restore,direction_restore,score_grid
always_fresh,current,0.9047472372297092,0.5367132967047747,0.9039095080391077,0.9047472372297092,0.9034209866176587,0.8307739656947944
always_deep,current,0.9050421574645967,0.5265739737598795,0.9043338709570008,0.9050421574645967,0.9036168341505292,0.8289930649250239
always_layered,current,0.9027662276941635,0.5379016285038359,0.9019250299568164,0.9027662276941635,0.9012352694872023,0.8293954245775844
adaptive_context,current,0.9065232888136219,0.542363802280652,0.9060163027343235,0.9065232888136219,0.905310438315839,0.8334080667165009
always_fresh,high_noise,0.7820579205440887,0.42031019316239876,0.7811687040138279,0.7820579205440887,0.7806381897791703,0.7093175721469608
always_deep,high_noise,0.7872952091937244,0.4142375182192749,0.7863903322856931,0.7872952091937244,0.7855119779688577,0.7122352109334983
always_layered,high_noise,0.7849114914944872,0.4069477369235258,0.783851593249874,0.7849114914944872,0.7832186790913123,0.7088528390708961
adaptive_context,high_noise,0.7823735734033564,0.4216865923477116,0.7812657701638017,0.7823735734033564,0.7805823292947384,0.7097459299280239
always_fresh,no_helper,0.7858061929998513,0.42005568783420755,0.784281056183312,0.7858061929998513,0.7835386275778583,0.7120109297901158
always_deep,no_helper,0.7911653108163216,0.41822541779975286,0.7902872197369283,0.7911653108163216,0.7894863717305395,0.7161498731342618
always_layered,no_helper,0.787790403219156,0.41849986963359415,0.786485023386762,0.787790403219156,0.7860312080096106,0.7134073412541331
adaptive_context,no_helper,0.7861857989588875,0.42062602580290814,0.7851360244996844,0.7861857989588875,0.7842758351741144,0.7125773948681352
always_fresh,illegal_truth,0.9042138804516993,0.5346191649758313,0.9034294848018346,0.9042138804516993,0.9027268582455368,0.8299150048956283
always_deep,illegal_truth,0.9049230674022475,0.5320641894341661,0.9043182251318973,0.9049230674022475,0.9036424196986299,0.8300382261990185
always_layered,illegal_truth,0.9047472772935498,0.540532836438447,0.9040715148523469,0.9047472772935498,0.9034487729429838,0.8315744609817038
adaptive_context,illegal_truth,0.9024549964393921,0.5445104313827207,0.9017598949287253,0.9024549964393921,0.901162056672152,0.8305331221608385
