regime,policy,split,accuracy,f1,false_write_rate,missed_write_rate,auc_like,leakage,threshold,compressed_bits
stable,raw_external,train,0.68625,0.29295774647887324,0.29725058915946584,0.43952095808383235,0.67894,0.0,1.3944061016987548,640
stable,raw_external,test,0.6923611111111111,0.27066183733947974,0.2888681592039801,0.46484375,0.669376,0.0,1.3944061016987548,640
stable,depth_1,train,0.8034722222222223,0.38876889848812096,0.16182246661429694,0.46107784431137727,0.78282,0.0,2.448883511236434,584
stable,depth_1,test,0.8080555555555555,0.36894977168949766,0.15827114427860697,0.4739583333333333,0.778724,0.0,2.448883511236434,584
stable,depth_2,train,0.8698611111111111,0.5207161125319694,0.09599371563236449,0.3904191616766467,0.885908,0.0,6.639392155111472,616
stable,depth_2,test,0.8730555555555556,0.505945945945946,0.09546019900497513,0.390625,0.885848,0.0,6.639392155111472,616
stable,depth_3,train,0.9279166666666666,0.71716621253406,0.05373134328358209,0.2119760479041916,0.967824,0.0,11.57951585535267,640
stable,depth_3,test,0.9259722222222222,0.6931491076568796,0.05705845771144279,0.21614583333333334,0.960472,0.0,11.57951585535267,640
stable,depth_4,train,0.9365277777777777,0.7335276967930029,0.0394344069128044,0.2467065868263473,0.966548,0.0,14.7428775330043,656
stable,depth_4,test,0.9369444444444445,0.7180124223602484,0.041044776119402986,0.24739583333333334,0.968528,0.0,14.7428775330043,656
stable,depth_5,train,0.9259722222222222,0.7157333333333333,0.0579732914375491,0.19640718562874251,0.963088,0.0,16.222835373096135,696
stable,depth_5,test,0.9266666666666666,0.7003405221339387,0.05861318407960199,0.19661458333333334,0.965304,0.0,16.222835373096135,696
stable,depth_6,train,0.9226388888888889,0.7029333333333333,0.0598586017282011,0.21077844311377245,0.958132,0.0,17.104518430388445,712
stable,depth_6,test,0.9229166666666667,0.6859083191850595,0.06110074626865672,0.2109375,0.962512,0.0,17.104518430388445,712
stable,overdeep_6,train,0.9226388888888889,0.7029333333333333,0.0598586017282011,0.21077844311377245,0.958132,0.0,17.104518430388445,776
stable,overdeep_6,test,0.9229166666666667,0.6859083191850595,0.06110074626865672,0.2109375,0.962512,0.0,17.104518430388445,776
stable,leaky_depth_3,train,0.9343055555555555,0.7176119402985074,0.037549096622152396,0.28023952095808385,0.968672,1.0,12.743311490023498,800
stable,leaky_depth_3,test,0.9348611111111111,0.6980038634900193,0.037779850746268655,0.2942708333333333,0.961168,1.0,12.743311490023498,800
stable,source_oracle,train,0.7126388888888889,0.29983079526226736,0.26347211311861746,0.4694610778443114,0.712712,1.0,1.3647713690337377,648
stable,source_oracle,test,0.73125,0.3096682126293257,0.24891169154228857,0.4348958333333333,0.7266,1.0,1.3647713690337377,648
stable,shuffled_label_control,train,0.10152777777777777,0.059054545454545464,0.9170463472113118,0.7568862275449102,0.05762,0.0,-0.4709510306124023,600
stable,shuffled_label_control,test,0.10194444444444445,0.057434402332361516,0.9165111940298507,0.7434895833333334,0.065468,0.0,-0.4709510306124023,600
noisy,raw_external,train,0.3665277777777778,0.34156200375342866,0.7486621784912826,0.15920398009950248,0.590676,0.0,0.21219245600001588,632
noisy,raw_external,test,0.35805555555555557,0.3305330243337196,0.754819996587613,0.14787154592979837,0.59192,0.0,0.21219245600001588,632
noisy,depth_1,train,0.7340277777777777,0.45081732147978204,0.22337303642326947,0.44136460554371004,0.721852,0.0,1.3891463271090823,592
noisy,depth_1,test,0.7372222222222222,0.4425456688273423,0.22248763009725303,0.4391336818521285,0.76668,0.0,1.3891463271090823,592
noisy,depth_2,train,0.8215277777777777,0.5942532365014209,0.14137752459865355,0.3312011371712864,0.851088,0.0,3.8882732763283316,624
noisy,depth_2,test,0.8147222222222222,0.5671641791044776,0.148268213615424,0.3472740851381628,0.86058,0.0,3.8882732763283316,624
noisy,depth_3,train,0.89375,0.7521865889212829,0.08959088555152771,0.17484008528784648,0.946276,0.0,6.799147458535718,640
noisy,depth_3,test,0.8863888888888889,0.7242076871207012,0.09435249957345163,0.19790888722927558,0.95176,0.0,6.799147458535718,640
noisy,depth_4,train,0.9059722222222222,0.7588172426077664,0.057828413602623856,0.24307036247334754,0.94586,0.0,8.922021274155076,664
noisy,depth_4,test,0.8988888888888888,0.7301704966641956,0.06381163623954957,0.2643764002987304,0.95168,0.0,8.922021274155076,664
noisy,depth_5,train,0.9004166666666666,0.7516453065465881,0.06818574141204903,0.22885572139303484,0.941704,0.0,9.69885020909038,664
noisy,depth_5,test,0.8958333333333334,0.729632299927902,0.07217198430301996,0.24421209858103063,0.950708,0.0,9.69885020909038,664
noisy,depth_6,train,0.8976388888888889,0.744717700034638,0.06991196271361988,0.23596304193319118,0.938168,0.0,10.085961796466709,712
noisy,depth_6,test,0.8966666666666666,0.7292576419213974,0.06944207473127453,0.25168035847647496,0.94864,0.0,10.085961796466709,712
noisy,overdeep_6,train,0.8976388888888889,0.744717700034638,0.06991196271361988,0.23596304193319118,0.938168,0.0,10.085961796466709,776
noisy,overdeep_6,test,0.8966666666666666,0.7292576419213974,0.06944207473127453,0.25168035847647496,0.94864,0.0,10.085961796466709,776
noisy,leaky_depth_3,train,0.8943055555555556,0.75348234531908,0.08924564129121354,0.1734186211798152,0.946552,1.0,7.215654116276537,792
noisy,leaky_depth_3,test,0.8868055555555555,0.725866128489741,0.09469373826991981,0.1941747572815534,0.951768,1.0,7.215654116276537,792
noisy,source_oracle,train,0.5959722222222222,0.38976295363960567,0.4196443984118764,0.33972992181947403,0.673844,1.0,0.5989058004193842,648
noisy,source_oracle,test,0.5972222222222222,0.3795464270432178,0.4176761644770517,0.33756534727408516,0.671764,1.0,0.5989058004193842,648
noisy,shuffled_label_control,train,0.2398611111111111,0.33956799806926513,0.9447609183497324,0.0,0.950816,0.0,-0.009143218687853265,616
noisy,shuffled_label_control,test,0.22402777777777777,0.32401693889897154,0.9532502985838595,0.0,0.95788,0.0,-0.009143218687853265,616
drifty,raw_external,train,0.5986111111111111,0.34762979683972917,0.40703517587939697,0.37398373983739835,0.620184,0.0,0.9149442548286015,640
drifty,raw_external,test,0.5938888888888889,0.33575647432985006,0.40912128299365186,0.3912685337726524,0.632484,0.0,0.9149442548286015,640
drifty,depth_1,train,0.7530555555555556,0.456269113149847,0.21675041876046902,0.3934959349593496,0.76298,0.0,2.1606697486976083,576
drifty,depth_1,test,0.74125,0.4294027565084227,0.22552622786501839,0.42257001647446457,0.731492,0.0,2.1606697486976083,576
drifty,depth_2,train,0.8480555555555556,0.5902621722846443,0.10921273031825796,0.359349593495935,0.87458,0.0,5.94763131594407,608
drifty,depth_2,test,0.8329166666666666,0.5392569896591344,0.11577013030404276,0.4200988467874794,0.850016,0.0,5.94763131594407,608
drifty,depth_3,train,0.9072222222222223,0.7420849420849422,0.06683417085427136,0.2186991869918699,0.950772,0.0,9.962130504017393,640
drifty,depth_3,test,0.8984722222222222,0.7127701375245581,0.07083194119612429,0.2528830313014827,0.94112,0.0,9.962130504017393,640
drifty,depth_4,train,0.9158333333333334,0.7546558704453441,0.05159128978224456,0.24227642276422764,0.949788,0.0,12.669967601812077,672
drifty,depth_4,test,0.9094444444444445,0.72419627749577,0.04911460073504845,0.29489291598023065,0.948024,0.0,12.669967601812077,672
drifty,depth_5,train,0.9105555555555556,0.7513513513513513,0.06482412060301508,0.20894308943089432,0.946636,0.0,13.959473116676536,696
drifty,depth_5,test,0.9036111111111111,0.7217321571772254,0.06348145673237554,0.2586490939044481,0.948596,0.0,13.959473116676536,696
drifty,depth_6,train,0.9097222222222222,0.7450980392156862,0.06197654941373534,0.22764227642276422,0.944032,0.0,14.85568909025119,704
drifty,depth_6,test,0.90125,0.7096774193548386,0.06114266622118276,0.2841845140032949,0.946412,0.0,14.85568909025119,704
drifty,overdeep_6,train,0.9097222222222222,0.7450980392156862,0.06197654941373534,0.22764227642276422,0.944032,0.0,14.85568909025119,768
drifty,overdeep_6,test,0.90125,0.7096774193548386,0.06114266622118276,0.2841845140032949,0.946412,0.0,14.85568909025119,768
drifty,leaky_depth_3,train,0.9066666666666666,0.744486692015209,0.07051926298157454,0.2040650406504065,0.950808,1.0,10.358428874758918,808
drifty,leaky_depth_3,test,0.8972222222222223,0.7122861586314153,0.07383895756765786,0.24546952224052718,0.940828,1.0,10.358428874758918,808
drifty,source_oracle,train,0.6919444444444445,0.38898071625344355,0.28375209380234506,0.42601626016260163,0.683356,1.0,1.4065197131481533,648
drifty,source_oracle,test,0.6861111111111111,0.3633802816901408,0.28249248245907116,0.4686985172981878,0.657868,1.0,1.4065197131481533,648
drifty,shuffled_label_control,train,0.18194444444444444,0.2946107784431138,0.9865996649916248,0.0,0.961808,0.0,-0.011231115587397061,616
drifty,shuffled_label_control,test,0.18055555555555555,0.2915465898174832,0.9856331440026729,0.0,0.95518,0.0,-0.011231115587397061,616
bursty,raw_external,train,0.6225,0.3312007874015748,0.36685505319148937,0.43158783783783783,0.642676,0.0,0.9110927856091564,640
bursty,raw_external,test,0.6225,0.327893175074184,0.36413586413586413,0.44472361809045224,0.634976,0.0,0.9110927856091564,640
bursty,depth_1,train,0.7513888888888889,0.44478908188585603,0.21991356382978725,0.39442567567567566,0.763708,0.0,1.942009619948138,584
bursty,depth_1,test,0.74375,0.44073961806608064,0.22943722943722944,0.39112227805695143,0.767308,0.0,1.942009619948138,584
bursty,depth_2,train,0.8377777777777777,0.5548780487804877,0.11835106382978723,0.38513513513513514,0.860352,0.0,5.386723869033064,608
bursty,depth_2,test,0.8388888888888889,0.5665171898355754,0.12054612054612054,0.36515912897822445,0.871028,0.0,5.386723869033064,608
bursty,depth_3,train,0.9058333333333334,0.7248376623376624,0.06432845744680851,0.24577702702702703,0.952988,0.0,9.374408994717651,640
bursty,depth_3,test,0.9059722222222222,0.7303863002787734,0.06660006660006661,0.2319932998324958,0.957724,0.0,9.374408994717651,640
bursty,depth_4,train,0.9108333333333334,0.739448051948052,0.06133643617021277,0.23057432432432431,0.959472,0.0,11.678778266363404,672
bursty,depth_4,test,0.9109722222222222,0.7420523138832997,0.06143856143856144,0.22780569514237856,0.961392,0.0,11.678778266363404,672
bursty,depth_5,train,0.8980555555555556,0.7285502958579881,0.08892952127659574,0.16807432432432431,0.957424,0.0,12.574761886952668,696
bursty,depth_5,test,0.8977777777777778,0.7274074074074074,0.08724608724608725,0.17755443886097153,0.955088,0.0,12.574761886952668,696
bursty,depth_6,train,0.9025,0.7196485623003195,0.06964760638297872,0.23902027027027026,0.954296,0.0,13.694820000478419,704
