probe_id,policy,split,accuracy,f1,false_write_rate,missed_write_rate,auc_like,leakage,model
CAC-003,delayed_public_classifier,train,0.9695833333333334,0.13095238095238096,0.02906733584274362,0.3888888888888889,0.9322222222222222,0.0,"features=energy_4,energy_12,energy_32,trend_12,charge_proxy,slope;threshold=30.7885"
CAC-003,delayed_public_classifier,test,0.9766666666666667,0.125,0.02132998745294856,0.5555555555555556,0.9423611111111111,0.0,"features=energy_4,energy_12,energy_32,trend_12,charge_proxy,slope;threshold=30.7885"
CAC-003,amplitude_only,train,0.9858333333333333,0.1282051282051282,0.01150146382266834,0.7222222222222222,0.8783333333333333,0.0,features=drive;threshold=5.8463
CAC-003,amplitude_only,test,0.989375,0.07272727272727272,0.007319113341698034,0.8888888888888888,0.8777777777777778,0.0,features=drive;threshold=5.8463
CAC-003,slope_only,train,0.9779166666666667,0.018518518518518517,0.018611459640317858,0.9444444444444444,0.5029166666666667,0.0,features=slope;threshold=0.0588
CAC-003,slope_only,test,0.9797916666666666,0.0,0.016520284399832705,1.0,0.5148611111111111,0.0,features=slope;threshold=0.0588
CAC-003,short_energy_only,train,0.975,0.13043478260869565,0.023212045169385194,0.5,0.8884722222222222,0.0,features=energy_4;threshold=9.9444
CAC-003,short_energy_only,test,0.9814583333333333,0.15238095238095237,0.016520284399832705,0.5555555555555556,0.8580555555555556,0.0,features=energy_4;threshold=9.9444
CAC-003,shuffled_label_control,train,0.9129166666666667,0.045662100456620995,0.08573818485989126,0.4444444444444444,0.8218055555555556,0.0,train labels shuffled
CAC-003,shuffled_label_control,test,0.9175,0.04807692307692308,0.08113759933082393,0.4444444444444444,0.9176388888888889,0.0,train labels shuffled
NET-003,intervention_topology_recovery,train,0.8777777777777778,0.6206896551724138,0.0,0.55,0.5835714285714285,0.0,edge_threshold=0.4377
NET-003,intervention_topology_recovery,test,0.8777777777777778,0.6206896551724138,0.0,0.55,0.5835714285714285,0.0,edge_threshold=0.4377
NET-003,wrong_topology_control,train,0.6777777777777778,0.0,0.12857142857142856,1.0,0.5307142857142857,0.0,truth labels shuffled
NET-003,wrong_topology_control,test,0.6777777777777778,0.0,0.12857142857142856,1.0,0.5614285714285714,0.0,truth labels shuffled
CAS-003,depth_1,train,0.8587037037037037,0.5029315960912053,0.1099246231155779,0.3814102564102564,0.89284375,0.0,features=depth_1;threshold=4.4387
CAS-003,depth_1,test,0.8557407407407407,0.49709489993544226,0.10952280849274754,0.401244167962675,0.88094375,0.0,features=depth_1;threshold=4.4387
CAS-003,depth_2,train,0.9087037037037037,0.6639400136332652,0.0745393634840871,0.21955128205128205,0.9560125,0.0,"features=depth_1,depth_2;threshold=10.8760"
CAS-003,depth_2,test,0.9042592592592592,0.6485384092454113,0.07378599957956695,0.2581648522550544,0.9422875,0.0,"features=depth_1,depth_2;threshold=10.8760"
CAS-003,depth_3,train,0.9331481481481482,0.7220939183987684,0.04313232830820771,0.2483974358974359,0.97118125,0.0,"features=depth_1,depth_2,depth_3;threshold=18.1666"
CAS-003,depth_3,test,0.9305555555555556,0.7156937073540561,0.04288417069581669,0.26594090202177295,0.9570625,0.0,"features=depth_1,depth_2,depth_3;threshold=18.1666"
CAS-003,depth_4,train,0.9242592592592592,0.6851424172440338,0.04815745393634841,0.28685897435897434,0.96174375,0.0,"features=depth_1,depth_2,depth_3,depth_4;threshold=21.8898"
CAS-003,depth_4,test,0.9235185185185185,0.6840091813312931,0.04561698549505991,0.3048211508553655,0.949025,0.0,"features=depth_1,depth_2,depth_3,depth_4;threshold=21.8898"
CAS-003,depth_5,train,0.9174074074074074,0.6734992679355783,0.059045226130653265,0.26282051282051283,0.95816875,0.0,"features=depth_1,depth_2,depth_3,depth_4,depth_5;threshold=22.2042"
CAS-003,depth_5,test,0.9122222222222223,0.6614285714285714,0.061803657767500526,0.27993779160186627,0.9457125,0.0,"features=depth_1,depth_2,depth_3,depth_4,depth_5;threshold=22.2042"
CAS-003,leaky_depth_3,train,0.9331481481481482,0.7220939183987684,0.04313232830820771,0.2483974358974359,0.97113125,1.0,"features=depth_1,depth_2,depth_3,hidden_latent;threshold=18.7267"
CAS-003,leaky_depth_3,test,0.9311111111111111,0.718608169440242,0.04288417069581669,0.26127527216174184,0.9577625,1.0,"features=depth_1,depth_2,depth_3,hidden_latent;threshold=18.7267"
AUK-001,receipt_translation,gate,0.0,0.0,0.0,0.0,0.5,0.0,any_science_pass=False;authority_flip=0.0
AUK-001,authority_leak_control,gate,0.0,0.0,1.0,0.0,0.5,1.0,any_science_pass=False;authority_flip=1.0
