source,seed,shuffled,windowStart,meanPressure,shockRate,bestStrategy,continueCost,bestCost,improvement,mismatchRate,summaryBits,actionHistoryBits,replayOk,leak
phi_resettable,1618,0,408,0.7612729166666666,0.10416666666666667,reset_sqrt2,1032,992,0.03875968992248062,0.8333333333333334,1848,728,True,False
phi_resettable,1618,0,564,0.4569666666666667,0.0,reset_sqrt2,1042,942,0.09596928982725528,0.78125,1840,712,True,False
phi_resettable,1618,0,888,0.7597791666666667,0.3958333333333333,argmax,1082,982,0.09242144177449169,0.8229166666666666,1832,736,True,False
phi_resettable,1618,0,1140,0.45936875000000005,0.0,argmax,1092,992,0.09157509157509157,0.8333333333333334,1832,712,True,False
phi_resettable,1618,0,1332,0.46760833333333335,0.3125,periodic_lattice,1042,1002,0.03838771593090211,0.84375,1880,736,True,False
phi_resettable,1618,0,1464,0.6996479166666667,0.10416666666666667,continue_phi,942,942,0.0,0.78125,1864,744,True,False
phi_resettable,1618,0,1992,0.76344375,0.010416666666666666,argmax,1102,992,0.0998185117967332,0.8333333333333334,1840,720,True,False
phi_resettable,1618,0,2280,0.4704291666666667,0.0,reset_sqrt2,1152,972,0.15625,0.8125,1832,744,True,False
phi_resettable,1618,1,204,0.13873125,0.0,continue_phi,192,192,0.0,0.0,1848,736,True,False
phi_resettable,1618,1,396,0.7408666666666667,0.22916666666666666,reset_phi,1042,972,0.0671785028790787,0.8125,1832,752,True,False
phi_resettable,1618,1,852,0.5511145833333333,0.7708333333333334,argmax,1112,1022,0.08093525179856115,0.8645833333333334,1832,728,True,False
phi_resettable,1618,1,1008,0.4454708333333333,0.0,argmax,1102,972,0.11796733212341198,0.8125,1832,696,True,False
phi_resettable,1618,1,1188,0.4375,0.0,argmax,1112,942,0.1528776978417266,0.78125,1824,744,True,False
phi_resettable,1618,1,1296,0.46217916666666664,0.0,reset_sqrt2,1152,992,0.1388888888888889,0.8333333333333334,1840,728,True,False
phi_resettable,1618,1,1908,0.36817916666666667,0.875,reset_sqrt2,1052,962,0.08555133079847908,0.8020833333333334,1848,696,True,False
phi_resettable,1618,1,2268,0.4646395833333334,0.0,reset_phi,1152,532,0.5381944444444444,0.3541666666666667,1840,776,True,False
phi_resettable,2718,0,372,0.7177729166666666,0.34375,reset_phi,1062,682,0.3578154425612053,0.5104166666666666,1832,768,True,False
phi_resettable,2718,0,636,0.46978958333333337,0.0,reset_sqrt2,1062,942,0.11299435028248588,0.78125,1848,720,True,False
phi_resettable,2718,0,912,0.709725,0.07291666666666667,continue_phi,622,622,0.0,0.4479166666666667,1848,736,True,False
phi_resettable,2718,0,1440,0.7370749999999999,0.21875,reset_phi,1002,822,0.17964071856287425,0.65625,1840,720,True,False
phi_resettable,2718,0,1776,0.4417708333333333,0.0,argmax,1002,992,0.00998003992015968,0.8333333333333334,1840,728,True,False
phi_resettable,2718,0,1956,0.7554833333333333,0.34375,periodic_lattice,1032,972,0.05813953488372093,0.8125,1872,768,True,False
phi_resettable,2718,0,2088,0.452675,0.0,argmax,1052,992,0.057034220532319393,0.8333333333333334,1824,712,True,False
phi_resettable,2718,0,2208,0.45188958333333334,0.0,argmax,1082,982,0.09242144177449169,0.8229166666666666,1840,736,True,False
phi_resettable,2718,1,156,0.14458125,0.0,continue_phi,192,192,0.0,0.0,1856,736,True,False
phi_resettable,2718,1,732,0.4219854166666666,0.010416666666666666,reset_sqrt2,1072,932,0.13059701492537312,0.7708333333333334,1832,752,True,False
phi_resettable,2718,1,924,0.6682354166666666,0.0,reset_phi,592,552,0.06756756756756757,0.375,1824,720,True,False
phi_resettable,2718,1,1164,0.30918125,0.0,continue_phi,612,612,0.0,0.4375,1864,752,True,False
phi_resettable,2718,1,1320,0.2928395833333333,0.3229166666666667,continue_phi,812,812,0.0,0.6458333333333334,1848,696,True,False
phi_resettable,2718,1,1560,0.4129041666666667,0.0,continue_sqrt2,1022,972,0.04892367906066536,0.8125,1880,744,True,False
phi_resettable,2718,1,2100,0.45363333333333333,0.0,reset_sqrt2,1062,1012,0.047080979284369114,0.8541666666666666,1832,704,True,False
phi_resettable,2718,1,2232,0.43259375000000005,0.0,argmax,1072,982,0.08395522388059702,0.8229166666666666,1824,712,True,False
phi_resettable,3141,0,396,0.7585770833333334,0.08333333333333333,reset_sqrt2,1112,932,0.1618705035971223,0.7708333333333334,1840,768,True,False
phi_resettable,3141,0,900,0.7431166666666668,0.19791666666666666,continue_phi,722,722,0.0,0.5520833333333334,1848,736,True,False
phi_resettable,3141,0,1440,0.7375270833333333,0.20833333333333334,argmax,1062,992,0.06591337099811675,0.8333333333333334,1832,736,True,False
phi_resettable,3141,0,1644,0.4676291666666667,0.0,argmax,1082,962,0.11090573012939002,0.8020833333333334,1840,752,True,False
phi_resettable,3141,0,1812,0.4772479166666667,0.041666666666666664,argmax,1122,972,0.13368983957219252,0.8125,1832,744,True,False
phi_resettable,3141,0,1956,0.7478854166666666,0.3333333333333333,periodic_lattice,1102,972,0.11796733212341198,0.8125,1880,768,True,False
phi_resettable,3141,0,2112,0.45901666666666663,0.0,periodic_lattice,1102,992,0.0998185117967332,0.8333333333333334,1864,760,True,False
phi_resettable,3141,0,2232,0.4606208333333333,0.0,periodic_lattice,1092,972,0.10989010989010989,0.8125,1848,712,True,False
phi_resettable,3141,1,336,0.2802208333333333,0.7083333333333334,argmax,1082,1022,0.05545286506469501,0.8645833333333334,1824,760,True,False
phi_resettable,3141,1,672,0.43850833333333333,0.0,reset_phi,1072,652,0.3917910447761194,0.4791666666666667,1840,768,True,False
phi_resettable,3141,1,1128,0.29769375000000003,0.0,continue_phi,602,602,0.0,0.4270833333333333,1856,728,True,False
phi_resettable,3141,1,1320,0.30775,0.3333333333333333,continue_phi,762,762,0.0,0.59375,1856,752,True,False
phi_resettable,3141,1,1560,0.4530708333333333,0.0,reset_phi,1122,962,0.14260249554367202,0.8020833333333334,1840,736,True,False
phi_resettable,3141,1,1740,0.4394833333333333,0.0,reset_phi,1122,872,0.22281639928698752,0.7083333333333334,1840,744,True,False
phi_resettable,3141,1,1908,0.47855000000000003,0.8333333333333334,periodic_lattice,1082,1042,0.036968576709796676,0.8854166666666666,1880,736,True,False
phi_resettable,3141,1,2124,0.45751458333333334,0.0,reset_phi,1092,862,0.21062271062271062,0.6979166666666666,1832,736,True,False
phi_resettable,4159,0,396,0.7205083333333334,0.19791666666666666,continue_phi,612,612,0.0,0.4375,1848,752,True,False
phi_resettable,4159,0,888,0.7065458333333333,0.375,continue_phi,952,952,0.0,0.7916666666666666,1848,744,True,False
phi_resettable,4159,0,996,0.41572499999999996,0.0,argmax,982,972,0.010183299389002037,0.8125,1832,712,True,False
phi_resettable,4159,0,1104,0.4209833333333333,0.0,continue_phi,932,932,0.0,0.7708333333333334,1856,752,True,False
phi_resettable,4159,0,1224,0.39218333333333333,0.0,continue_phi,962,962,0.0,0.8020833333333334,1864,728,True,False
phi_resettable,4159,0,1332,0.4204125,0.34375,reset_phi,982,842,0.1425661914460285,0.6770833333333334,1832,760,True,False
phi_resettable,4159,0,1440,0.7021666666666667,0.3229166666666667,continue_phi,672,672,0.0,0.5,1872,736,True,False
phi_resettable,4159,0,1956,0.6941354166666667,0.375,continue_phi,872,872,0.0,0.7083333333333334,1848,760,True,False
phi_resettable,4159,1,48,0.1406125,0.0,continue_phi,192,192,0.0,0.0,1848,728,True,False
phi_resettable,4159,1,204,0.14130208333333333,0.0,continue_phi,192,192,0.0,0.0,1832,768,True,False
phi_resettable,4159,1,408,0.7062416666666667,0.07291666666666667,continue_phi,552,552,0.0,0.375,1848,744,True,False
phi_resettable,4159,1,1044,0.39518125,0.0,reset_phi,992,782,0.21169354838709678,0.6145833333333334,1832,720,True,False
phi_resettable,4159,1,1164,0.39667500000000006,0.0,continue_phi,952,952,0.0,0.7916666666666666,1864,696,True,False
phi_resettable,4159,1,1764,0.30502916666666663,0.0,continue_phi,662,662,0.0,0.4895833333333333,1864,736,True,False
phi_resettable,4159,1,1884,0.32902916666666665,0.75,continue_phi,872,872,0.0,0.7083333333333334,1856,720,True,False
phi_resettable,4159,1,2100,0.3706,0.0,continue_phi,772,772,0.0,0.6041666666666666,1856,712,True,False
phi_resettable,5772,0,432,0.7402125,0.0625,reset_sqrt2,1092,922,0.15567765567765568,0.7604166666666666,1848,736,True,False
phi_resettable,5772,0,924,0.7673729166666666,0.125,argmax,1142,962,0.15761821366024517,0.8020833333333334,1824,752,True,False
phi_resettable,5772,0,1152,0.461725,0.0,argmax,1132,952,0.15901060070671377,0.7916666666666666,1840,736,True,False
phi_resettable,5772,0,1356,0.4758645833333333,0.3541666666666667,argmax,1092,962,0.11904761904761904,0.8020833333333334,1832,728,True,False
