family,noise_level,damage_mode,access_fidelity,repair_score,repair_gain,identity_restore,scene_restore,direction_restore,avg_switch_paid,score_balanced,score_repair_heavy,seed
fibonacci,0.2,wrong,0.9691557131434585,0.6074594109949857,0.6074594109949857,0.7059467952978857,0.6074594109949857,0.607423697331512,0.0,0.6745664220205942,0.644647629688861,20260526
generic_ternary,0.2,wrong,0.9466680920413306,0.8381946169408814,0.23320240992252483,0.9222606984218308,0.8381946169408814,0.8381467043385268,0.0,0.7617432062400069,0.7098776085559944,20260526
fibonacci,0.3,wrong,0.9601303493718765,0.5605418532886269,0.5605418532886269,0.6800046102295938,0.5605418532886269,0.5605209433466499,0.0,0.6383758295551253,0.6052151677961545,20260526
generic_ternary,0.3,wrong,0.9355293035935734,0.8236862127172483,0.21603901427798444,0.9193616474039136,0.8236862127172483,0.8238429104050294,0.0,0.7492825709827907,0.6968352305906805,20260526
fibonacci,0.4,wrong,0.9540285690626596,0.5312086349306546,0.5312086349306546,0.6652763765980682,0.5312086349306546,0.5312028853998131,0.0,0.6158819205775414,0.580715935906849,20260526
generic_ternary,0.4,wrong,0.929067130981205,0.812771885844444,0.20725084501035904,0.9159770138809509,0.812771885844444,0.8128579569730542,0.0,0.7406964586214511,0.6879700113153286,20260526
fibonacci,0.2,wrong,0.9691988452060126,0.6078252061435299,0.6078252061435299,0.7064924811088465,0.6078252061435299,0.6078449246934013,0.0,0.6749029829833046,0.6450054331811593,20260527
generic_ternary,0.2,wrong,0.9467405338060995,0.8401411764844131,0.23132167500918382,0.9233231090897698,0.8401411764844131,0.8401474317239426,0.0,0.762616350904199,0.710638905127168,20260527
fibonacci,0.3,wrong,0.9601369757451494,0.5600638590949004,0.5600638590949004,0.6805659475756033,0.5600638590949004,0.5600522340134961,0.0,0.6381520519348449,0.6049417629720882,20260527
generic_ternary,0.3,wrong,0.9360605973066117,0.8228651009890042,0.2160595108848554,0.9187081364578091,0.8228651009890042,0.8227341991577035,0.0,0.7488401817825291,0.696356265506707,20260527
fibonacci,0.4,wrong,0.9540491183411297,0.5314920932198659,0.5314920932198659,0.6643831299216906,0.5314920932198659,0.5314468213034196,0.0,0.6159303629619255,0.5807991541810283,20260527
generic_ternary,0.4,wrong,0.9292626444392914,0.8151457202321077,0.20673052447087728,0.9177122431250303,0.8151457202321077,0.8153331514812406,0.0,0.7421199188306682,0.6893664643994215,20260527
fibonacci,0.2,wrong,0.9692010220551098,0.6069961198750117,0.6069961198750117,0.7061293772730247,0.6069961198750117,0.6069509362806472,0.0,0.6743003113815786,0.6443348458129088,20260528
generic_ternary,0.2,wrong,0.9468500929160122,0.8398980702662654,0.2310683054308296,0.9230832680574287,0.8398980702662654,0.839778770756969,0.0,0.7624238948131796,0.7104237624602723,20260528
fibonacci,0.3,wrong,0.9601951266254364,0.5608967633479018,0.5608967633479018,0.680410913770344,0.5608967633479018,0.560904530683147,0.0,0.6386847236670619,0.6055453247338725,20260528
generic_ternary,0.3,wrong,0.9360281863779055,0.8233181908820149,0.215728223621582,0.9189454295032758,0.8233181908820149,0.8233787783467904,0.0,0.7490748688050335,0.6965674696976806,20260528
fibonacci,0.4,wrong,0.954252170026403,0.5327408874967141,0.5327408874967141,0.6661154984065986,0.5327408874967141,0.5326911739011898,0.0,0.6170418785998059,0.5819897155681082,20260528
