sentinel,bucket,open_rate,count
score_only_default,both_wrong,0.0,77
score_only_default,both_correct,0.0,487
score_only_default,order_only,0.0,38
score_only_default,capacity_only,0.0,52
score_only_sparse_5pct_false_alarm,both_wrong,0.18181818181818182,77
score_only_sparse_5pct_false_alarm,both_correct,0.049281314168377825,487
score_only_sparse_5pct_false_alarm,order_only,0.0,38
score_only_sparse_5pct_false_alarm,capacity_only,0.0,52
capacity_context_default,both_wrong,0.025974025974025976,77
capacity_context_default,both_correct,0.004106776180698152,487
capacity_context_default,order_only,0.0,38
capacity_context_default,capacity_only,0.0,52
capacity_context_sparse_5pct_false_alarm,both_wrong,0.16883116883116883,77
capacity_context_sparse_5pct_false_alarm,both_correct,0.055441478439425054,487
capacity_context_sparse_5pct_false_alarm,order_only,0.0,38
capacity_context_sparse_5pct_false_alarm,capacity_only,0.0,52
order_capacity_context_default,both_wrong,0.025974025974025976,77
order_capacity_context_default,both_correct,0.002053388090349076,487
order_capacity_context_default,order_only,0.0,38
order_capacity_context_default,capacity_only,0.0,52
order_capacity_context_sparse_5pct_false_alarm,both_wrong,0.38961038961038963,77
order_capacity_context_sparse_5pct_false_alarm,both_correct,0.045174537987679675,487
order_capacity_context_sparse_5pct_false_alarm,order_only,0.0,38
order_capacity_context_sparse_5pct_false_alarm,capacity_only,0.0,52
full_local_context_default,both_wrong,0.025974025974025976,77
full_local_context_default,both_correct,0.004106776180698152,487
full_local_context_default,order_only,0.0,38
full_local_context_default,capacity_only,0.0,52
full_local_context_sparse_5pct_false_alarm,both_wrong,0.36363636363636365,77
full_local_context_sparse_5pct_false_alarm,both_correct,0.057494866529774126,487
full_local_context_sparse_5pct_false_alarm,order_only,0.0,38
full_local_context_sparse_5pct_false_alarm,capacity_only,0.0,52
