gate,scenario,open_rate
opportunity_linear_gate,cross_family_0.45,0.18181818181818182
opportunity_linear_gate,cross_family_0.60,0.12844036697247707
opportunity_linear_gate,current,0.017094017094017096
opportunity_linear_gate,gaussian_mix_0.60,0.02702702702702703
opportunity_linear_gate,permute_mix_0.60,0.037037037037037035
opportunity_linear_gate,uniform_mix_0.60,0.05454545454545454
coherence_linear_gate,cross_family_0.45,0.9292929292929293
coherence_linear_gate,cross_family_0.60,0.9541284403669725
coherence_linear_gate,current,0.23931623931623933
coherence_linear_gate,gaussian_mix_0.60,0.0
coherence_linear_gate,permute_mix_0.60,0.0
coherence_linear_gate,uniform_mix_0.60,0.07272727272727272
coherence_disagreement_gate,cross_family_0.45,0.16161616161616163
coherence_disagreement_gate,cross_family_0.60,0.1559633027522936
coherence_disagreement_gate,current,0.02564102564102564
coherence_disagreement_gate,gaussian_mix_0.60,0.0
coherence_disagreement_gate,permute_mix_0.60,0.0
coherence_disagreement_gate,uniform_mix_0.60,0.01818181818181818
coherence_margin_gate,cross_family_0.45,0.15151515151515152
coherence_margin_gate,cross_family_0.60,0.1559633027522936
coherence_margin_gate,current,0.02564102564102564
coherence_margin_gate,gaussian_mix_0.60,0.0
coherence_margin_gate,permute_mix_0.60,0.0
coherence_margin_gate,uniform_mix_0.60,0.01818181818181818
threshold_gate,cross_family_0.45,0.16161616161616163
threshold_gate,cross_family_0.60,0.1559633027522936
threshold_gate,current,0.07692307692307693
threshold_gate,gaussian_mix_0.60,0.08108108108108109
threshold_gate,permute_mix_0.60,0.1111111111111111
threshold_gate,uniform_mix_0.60,0.1
