family,scenario,access_fidelity,repair_score,repair_gain,identity_restore,scene_restore,direction_restore,avg_switch_paid,score_balanced,score_access_heavy,score_repair_heavy,score_identity_heavy,noise_level
fibonacci,uniform_0.00,0.9997391382489359,0.9062771477365134,0.5249166684168473,0.9056388760947979,0.9062771477365134,0.9049594996041833,0.0,0.8474720859749411,0.8720826095821382,0.8133721583046044,0.851339789318791,0.0
generic_ternary,uniform_0.00,0.9911929332048561,0.8669932769248425,0.26566092683771,0.8742105456901028,0.8669932769248425,0.8662168597487072,0.0,0.7825994834061442,0.817849708583809,0.7305368945687979,0.7916339621740794,0.0
fibonacci,uniform_0.10,0.9833979222658722,0.7818653128896562,0.41907672951066816,0.8171143386257209,0.7818653128896562,0.7803083250687779,0.0,0.7528073529453291,0.790925954378331,0.711014902492386,0.7521352051640812,0.1
generic_ternary,uniform_0.10,0.9656711869002573,0.7962956433439928,0.20103993444548252,0.8372491982664747,0.7962956433439928,0.7954216667108015,0.0,0.7268943324638628,0.7672796720126803,0.6713105526389007,0.7365171826199077,0.1
fibonacci,uniform_0.20,0.9691358971835489,0.7322486313769504,0.3597179038001191,0.7917771945184967,0.7322486313769504,0.7306264244096056,0.0,0.7124324288278756,0.7550678213222253,0.6668901213499214,0.7123798605293803,0.2
generic_ternary,uniform_0.20,0.9465574157301269,0.767500104026646,0.17525402761290618,0.8280174237696996,0.767500104026646,0.766700856262209,0.0,0.7034323657020737,0.7444922144289035,0.6470853446076248,0.71473442214716,0.2
fibonacci,uniform_0.30,0.9601468526748216,0.7016806395689722,0.32554371991698805,0.7729330870605434,0.7016806395689722,0.700073271958906,0.0,0.6874001062245702,0.7328122786047049,0.639761068706051,0.6872536612634653,0.3
generic_ternary,uniform_0.30,0.9360326138604926,0.751228581966095,0.16245245605911307,0.8194215960512775,0.751228581966095,0.7505930461511487,0.0,0.6900065911994626,0.7315284258100796,0.6333577864843176,0.7017442888980446,0.3
fibonacci,uniform_0.40,0.9541068358433694,0.674953750919668,0.319588165034796,0.7580593555628765,0.674953750919668,0.6735211594410024,0.0,0.669730481996359,0.7170513428968603,0.621763217718023,0.6688486054678394,0.4
generic_ternary,uniform_0.40,0.9295027211736838,0.7489616324839304,0.1597086970968057,0.8243634155504366,0.7489616324839304,0.7482723560014924,0.0,0.6878887859014226,0.7286145367117286,0.6314782393226005,0.7009184259016776,0.4
fibonacci,uniform_0.55,0.9478937395679252,0.6646487486389854,0.2898198382005154,0.7518103970524874,0.6646487486389854,0.6626919569044494,0.0,0.6578541387608478,0.7062362949383753,0.6081827388584314,0.6577508531760966,0.55
generic_ternary,uniform_0.55,0.9225356719242594,0.7351688347325561,0.15631724297242164,0.8133627895912282,0.7351688347325561,0.7344295551893845,0.0,0.6774326647042016,0.7187207149952426,0.6211787307342279,0.6899666868178651,0.55
fibonacci,uniform_0.70,0.9440724925977437,0.6511012053017181,0.28744037503383557,0.7478894715448101,0.6511012053017181,0.6494739324874038,0.0,0.6494204872350574,0.6985240080179607,0.5996400071109085,0.6494588110428706,0.7
generic_ternary,uniform_0.70,0.9186991168130243,0.7341707837830109,0.15163919429542183,0.8151721291445129,0.7341707837830109,0.7336780989497868,0.0,0.6757730110451168,0.7166775192347626,0.6194481539266309,0.6890119401360065,0.7
