access_cost,noise_level,view,winner,fibonacci_net,generic_ternary_net,margin
0.0,0.0,balanced,fibonacci,0.8474720859749411,0.7825994834061442,0.0648726025687969
0.0,0.0,access_heavy,fibonacci,0.8720826095821382,0.817849708583809,0.054232900998329225
0.0,0.0,repair_heavy,fibonacci,0.8133721583046044,0.7305368945687979,0.08283526373580652
0.0,0.0,identity_heavy,fibonacci,0.851339789318791,0.7916339621740794,0.05970582714471151
0.0,0.1,balanced,fibonacci,0.7528073529453291,0.7268943324638628,0.025913020481466265
0.0,0.1,access_heavy,fibonacci,0.790925954378331,0.7672796720126803,0.023646282365650695
0.0,0.1,repair_heavy,fibonacci,0.711014902492386,0.6713105526389007,0.039704349853485255
0.0,0.1,identity_heavy,fibonacci,0.7521352051640812,0.7365171826199077,0.015618022544173438
0.0,0.2,balanced,fibonacci,0.7124324288278756,0.7034323657020737,0.009000063125801927
0.0,0.2,access_heavy,fibonacci,0.7550678213222253,0.7444922144289035,0.01057560689332182
0.0,0.2,repair_heavy,fibonacci,0.6668901213499214,0.6470853446076248,0.019804776742296637
0.0,0.2,identity_heavy,generic_ternary,0.7123798605293803,0.71473442214716,-0.0023545616177796935
0.0,0.3,balanced,generic_ternary,0.6874001062245702,0.6900065911994626,-0.0026064849748924646
0.0,0.3,access_heavy,fibonacci,0.7328122786047049,0.7315284258100796,0.0012838527946252842
0.0,0.3,repair_heavy,fibonacci,0.639761068706051,0.6333577864843176,0.006403282221733364
0.0,0.3,identity_heavy,generic_ternary,0.6872536612634653,0.7017442888980446,-0.014490627634579312
0.0,0.4,balanced,generic_ternary,0.669730481996359,0.6878887859014226,-0.018158303905063566
0.0,0.4,access_heavy,generic_ternary,0.7170513428968603,0.7286145367117286,-0.011563193814868256
0.0,0.4,repair_heavy,generic_ternary,0.621763217718023,0.6314782393226005,-0.00971502160457749
0.0,0.4,identity_heavy,generic_ternary,0.6688486054678394,0.7009184259016776,-0.032069820433838214
0.0,0.55,balanced,generic_ternary,0.6578541387608478,0.6774326647042016,-0.019578525943353853
0.0,0.55,access_heavy,generic_ternary,0.7062362949383753,0.7187207149952426,-0.01248442005686734
0.0,0.55,repair_heavy,generic_ternary,0.6081827388584314,0.6211787307342279,-0.012995991875796475
0.0,0.55,identity_heavy,generic_ternary,0.6577508531760966,0.6899666868178651,-0.0322158336417685
0.0,0.7,balanced,generic_ternary,0.6494204872350574,0.6757730110451168,-0.02635252381005937
0.0,0.7,access_heavy,generic_ternary,0.6985240080179607,0.7166775192347626,-0.018153511216801976
0.0,0.7,repair_heavy,generic_ternary,0.5996400071109085,0.6194481539266309,-0.019808146815722405
0.0,0.7,identity_heavy,generic_ternary,0.6494588110428706,0.6890119401360065,-0.03955312909313591
0.02,0.0,balanced,fibonacci,0.827472085974941,0.7625994834061441,0.0648726025687969
0.02,0.0,access_heavy,fibonacci,0.8520826095821382,0.797849708583809,0.054232900998329225
0.02,0.0,repair_heavy,fibonacci,0.7933721583046044,0.7105368945687979,0.08283526373580652
0.02,0.0,identity_heavy,fibonacci,0.8313397893187909,0.7716339621740794,0.05970582714471151
0.02,0.1,balanced,fibonacci,0.7328073529453291,0.7068943324638628,0.025913020481466265
0.02,0.1,access_heavy,fibonacci,0.770925954378331,0.7472796720126803,0.023646282365650695
0.02,0.1,repair_heavy,fibonacci,0.691014902492386,0.6513105526389007,0.039704349853485255
0.02,0.1,identity_heavy,fibonacci,0.7321352051640811,0.7165171826199077,0.015618022544173438
0.02,0.2,balanced,fibonacci,0.6924324288278756,0.6834323657020737,0.009000063125801927
0.02,0.2,access_heavy,fibonacci,0.7350678213222253,0.7244922144289034,0.01057560689332182
0.02,0.2,repair_heavy,fibonacci,0.6468901213499214,0.6270853446076248,0.019804776742296637
0.02,0.2,identity_heavy,generic_ternary,0.6923798605293803,0.69473442214716,-0.0023545616177796935
0.02,0.3,balanced,generic_ternary,0.6674001062245701,0.6700065911994626,-0.0026064849748924646
0.02,0.3,access_heavy,fibonacci,0.7128122786047049,0.7115284258100796,0.0012838527946252842
0.02,0.3,repair_heavy,fibonacci,0.619761068706051,0.6133577864843176,0.006403282221733364
0.02,0.3,identity_heavy,generic_ternary,0.6672536612634653,0.6817442888980446,-0.014490627634579312
0.02,0.4,balanced,generic_ternary,0.649730481996359,0.6678887859014225,-0.018158303905063566
0.02,0.4,access_heavy,generic_ternary,0.6970513428968603,0.7086145367117286,-0.011563193814868256
0.02,0.4,repair_heavy,generic_ternary,0.601763217718023,0.6114782393226005,-0.00971502160457749
0.02,0.4,identity_heavy,generic_ternary,0.6488486054678394,0.6809184259016776,-0.032069820433838214
0.02,0.55,balanced,generic_ternary,0.6378541387608477,0.6574326647042016,-0.019578525943353853
0.02,0.55,access_heavy,generic_ternary,0.6862362949383752,0.6987207149952426,-0.01248442005686734
0.02,0.55,repair_heavy,generic_ternary,0.5881827388584314,0.6011787307342279,-0.012995991875796475
0.02,0.55,identity_heavy,generic_ternary,0.6377508531760966,0.6699666868178651,-0.0322158336417685
0.02,0.7,balanced,generic_ternary,0.6294204872350574,0.6557730110451168,-0.02635252381005937
0.02,0.7,access_heavy,generic_ternary,0.6785240080179606,0.6966775192347626,-0.018153511216801976
0.02,0.7,repair_heavy,generic_ternary,0.5796400071109085,0.5994481539266309,-0.019808146815722405
0.02,0.7,identity_heavy,generic_ternary,0.6294588110428706,0.6690119401360065,-0.03955312909313591
0.05,0.0,balanced,fibonacci,0.797472085974941,0.7325994834061441,0.0648726025687969
0.05,0.0,access_heavy,fibonacci,0.8220826095821382,0.767849708583809,0.054232900998329225
0.05,0.0,repair_heavy,fibonacci,0.7633721583046044,0.6805368945687978,0.08283526373580652
0.05,0.0,identity_heavy,fibonacci,0.8013397893187909,0.7416339621740794,0.05970582714471151
0.05,0.1,balanced,fibonacci,0.702807352945329,0.6768943324638628,0.025913020481466265
0.05,0.1,access_heavy,fibonacci,0.740925954378331,0.7172796720126803,0.023646282365650695
0.05,0.1,repair_heavy,fibonacci,0.6610149024923859,0.6213105526389007,0.039704349853485255
0.05,0.1,identity_heavy,fibonacci,0.7021352051640811,0.6865171826199077,0.015618022544173438
0.05,0.2,balanced,fibonacci,0.6624324288278756,0.6534323657020736,0.009000063125801927
0.05,0.2,access_heavy,fibonacci,0.7050678213222252,0.6944922144289034,0.01057560689332182
0.05,0.2,repair_heavy,fibonacci,0.6168901213499214,0.5970853446076247,0.019804776742296637
0.05,0.2,identity_heavy,generic_ternary,0.6623798605293802,0.6647344221471599,-0.0023545616177796935
0.05,0.3,balanced,generic_ternary,0.6374001062245701,0.6400065911994626,-0.0026064849748924646
0.05,0.3,access_heavy,fibonacci,0.6828122786047048,0.6815284258100796,0.0012838527946252842
0.05,0.3,repair_heavy,fibonacci,0.5897610687060509,0.5833577864843176,0.006403282221733364
0.05,0.3,identity_heavy,generic_ternary,0.6372536612634653,0.6517442888980446,-0.014490627634579312
0.05,0.4,balanced,generic_ternary,0.6197304819963589,0.6378887859014225,-0.018158303905063566
0.05,0.4,access_heavy,generic_ternary,0.6670513428968603,0.6786145367117286,-0.011563193814868256
0.05,0.4,repair_heavy,generic_ternary,0.571763217718023,0.5814782393226005,-0.00971502160457749
0.05,0.4,identity_heavy,generic_ternary,0.6188486054678394,0.6509184259016776,-0.032069820433838214
0.05,0.55,balanced,generic_ternary,0.6078541387608477,0.6274326647042016,-0.019578525943353853
0.05,0.55,access_heavy,generic_ternary,0.6562362949383752,0.6687207149952425,-0.01248442005686734
0.05,0.55,repair_heavy,generic_ternary,0.5581827388584314,0.5711787307342279,-0.012995991875796475
0.05,0.55,identity_heavy,generic_ternary,0.6077508531760966,0.6399666868178651,-0.0322158336417685
0.05,0.7,balanced,generic_ternary,0.5994204872350574,0.6257730110451167,-0.02635252381005937
0.05,0.7,access_heavy,generic_ternary,0.6485240080179606,0.6666775192347626,-0.018153511216801976
0.05,0.7,repair_heavy,generic_ternary,0.5496400071109084,0.5694481539266308,-0.019808146815722405
0.05,0.7,identity_heavy,generic_ternary,0.5994588110428706,0.6390119401360065,-0.03955312909313591
