damage_keep,damage_prob,trigger_threshold,family,score_event,score_core,trigger_rate,repair_score,repair_gain
0.06,0.12,0.2,no_return,0.6599263976669056,0.5575436522922073,0.0,0.738128896470049,0.23752068677565694
0.06,0.12,0.2,always_fibonacci,0.6274427545622348,0.5258003916062612,1.0,0.7407943006241371,0.24226306184304944
0.06,0.12,0.2,event_fibonacci,0.6268986142928591,0.5251897320017639,0.9989270386266095,0.7409036471514026,0.24148500090936562
0.06,0.12,0.2,event_soft_fibonacci,0.6259712145793769,0.524039878117954,0.3730030436758163,0.7408827420583997,0.23928517699905275
0.06,0.12,0.2,event_binary,0.6686350274960028,0.5727311988700898,1.0,0.7701081316165342,0.2703339832520457
0.06,0.12,0.2,event_tribonacci,0.631122096485084,0.5301377983775404,0.9989743589743589,0.7428827244769098,0.24675178239397463
0.06,0.12,0.2,event_random,0.6260344181772501,0.5241515633554685,0.9989462592202318,0.7417823447164108,0.23886018988481797
0.06,0.12,0.2,event_stale,0.6923684210933534,0.5989523458126391,0.9989258861439313,0.782786342828364,0.28252842292119024
0.06,0.12,0.28,no_return,0.66024790054928,0.5579259355514772,0.0,0.7395639286964004,0.23669906356524714
0.06,0.12,0.28,always_fibonacci,0.6276585951344641,0.5261110850658078,1.0,0.7429581844779021,0.24104971296196254
0.06,0.12,0.28,event_fibonacci,0.6273627829124816,0.5257530432735305,0.99235807860262,0.7425806053858112,0.24079657907594118
0.06,0.12,0.28,event_soft_fibonacci,0.6259341477910342,0.5239381945820233,0.3072516591838214,0.7392556065799553,0.24025887088870343
0.06,0.12,0.28,event_binary,0.6697143745624448,0.5738600163521239,0.9863301787592008,0.7727017343091421,0.26823176493910156
0.06,0.12,0.28,event_tribonacci,0.6317035382563314,0.530731947917529,0.9833333333333333,0.746539095067818,0.24322506816058134
0.06,0.12,0.28,event_random,0.6278998465976752,0.5264434682437001,0.9955506117908788,0.7433049391072543,0.24160302408464002
0.06,0.12,0.28,event_stale,0.6923007313783607,0.5988290840718187,0.9900881057268722,0.7835393472308391,0.28122387731971055
0.06,0.12,0.4,no_return,0.6596075576298637,0.5571785192945559,0.0,0.7368846987516824,0.23830369480586233
0.06,0.12,0.4,always_fibonacci,0.627996973563363,0.5264442919686614,1.0,0.7436540062126719,0.24029515127385734
0.06,0.12,0.4,event_fibonacci,0.6290206852448765,0.5275038275463071,0.9752421959095802,0.7434136769234997,0.24089954168801095
0.06,0.12,0.4,event_soft_fibonacci,0.6266047553224482,0.5244696108391499,0.16395875613321276,0.7403440943091405,0.23778077164728256
0.06,0.12,0.4,event_binary,0.6688853087038396,0.5728553458755004,0.9679144385026738,0.7713988924243419,0.2677795492426716
0.06,0.12,0.4,event_tribonacci,0.6324566461618061,0.5314954380152126,0.9717083786724701,0.7445020732219656,0.2453605528997744
0.06,0.12,0.4,event_random,0.6271159505122449,0.525419408415471,0.9737118822292324,0.7409787978744379,0.24153722358866175
0.06,0.12,0.4,event_stale,0.691956884145878,0.5984280492784797,0.9771428571428571,0.7822954361094591,0.28189813296403693
0.06,0.22,0.2,no_return,0.6602595690055736,0.5579337241253414,0.0,0.7393881176459652,0.23683423132080986
0.06,0.22,0.2,always_fibonacci,0.6276522218613854,0.526034253572782,1.0,0.7419584821031266,0.24134052741586276
0.06,0.22,0.2,event_fibonacci,0.6276473697362458,0.5260381997276458,1.0,0.7435699055555609,0.2398171479387738
0.06,0.22,0.2,event_soft_fibonacci,0.625748231244,0.5238001809062879,0.37491878459797595,0.7400309159510116,0.23996594362939253
0.06,0.22,0.2,event_binary,0.6681639480674575,0.5722023787359244,1.0,0.7691317267249319,0.2707309915896676
0.06,0.22,0.2,event_tribonacci,0.6325015500737634,0.5316918447436855,1.0,0.7462676079195842,0.24510958504532016
0.06,0.22,0.2,event_random,0.6255516963126674,0.52370782594479,0.9994175888177053,0.7400689362760191,0.2409698594324251
0.06,0.22,0.2,event_stale,0.6923936276016721,0.5989959441088799,1.0,0.782539830011746,0.2829619852638574
0.06,0.22,0.28,no_return,0.6597731607010093,0.5573461031229483,0.0,0.7384126634664517,0.2367963511158767
0.06,0.22,0.28,always_fibonacci,0.6279855929340409,0.526471989399983,1.0,0.7432147140036377,0.2411290247350371
0.06,0.22,0.28,event_fibonacci,0.6281538827213903,0.5265714267550056,0.9904134212103056,0.7424191490147236,0.241234288706439
0.06,0.22,0.28,event_soft_fibonacci,0.6259755450936733,0.5239258069132059,0.3052893953528915,0.7396482928944297,0.23933601246350816
0.06,0.22,0.28,event_binary,0.6683311721649244,0.5722987090815287,0.9901563404748118,0.7694861276735375,0.26966976883049243
