regime,policy,split,accuracy,macro_f1,write_f1,witness_f1,release_f1,harmful_error_rate,leakage
stable,raw_external,train,0.48118181818181816,0.3620830267141715,0.13255709807433946,0.3361221194774695,0.6175698625907056,0.10763636363636364,0.0
stable,raw_external,test,0.4751818181818182,0.3509996783134981,0.11901306240928883,0.3191335740072202,0.6148523985239852,0.09618181818181819,0.0
stable,finite_mid,train,0.8680909090909091,0.7534100711387347,0.6385696040868455,0.6925525143220879,0.929108095007271,0.0001818181818181818,0.0
stable,finite_mid,test,0.8660909090909091,0.7435405955017155,0.6145695364238409,0.6876061120543293,0.9284461380269764,9.09090909090909e-05,0.0
stable,overdeep,train,0.8551818181818182,0.7412526778776253,0.6362545018007203,0.6663867310518581,0.9211168007802975,0.0003636363636363636,0.0
stable,overdeep,test,0.859909090909091,0.7387741727982334,0.6138613861386137,0.6774261161182141,0.9250350161378723,0.0001818181818181818,0.0
stable,leaky_mid,train,0.8682727272727273,0.7544029499969458,0.6411238825031929,0.6929768724803735,0.929108095007271,0.0001818181818181818,1.0
stable,leaky_mid,test,0.8657272727272727,0.7422098469390687,0.6119205298013244,0.6863578410539737,0.9283511699619083,9.09090909090909e-05,1.0
stable,shuffled_label_control,train,0.09490909090909092,0.1664633266578739,0.01058860168171909,0.48880137829190257,0.0,0.7162727272727273,0.0
stable,shuffled_label_control,test,0.09254545454545454,0.16553794412405468,0.008886133498656747,0.48748748748748755,0.00024021138601969732,0.7212727272727273,0.0
noisy,raw_external,train,0.2837272727272727,0.26704517815711465,0.21069639683309097,0.23103448275862068,0.3594046548796324,0.3108181818181818,0.0
noisy,raw_external,test,0.2820909090909091,0.2665362809192832,0.212883336037644,0.23213982691328694,0.3545856798069187,0.30654545454545457,0.0
noisy,finite_mid,train,0.8130909090909091,0.7106981381975728,0.6806919121084618,0.5431818181818182,0.9082206843024384,0.0041818181818181815,0.0
noisy,finite_mid,test,0.8110909090909091,0.7087051844953808,0.6682397357243983,0.5506539569940145,0.9072218607677293,0.004636363636363636,0.0
noisy,overdeep,train,0.7983636363636364,0.6901199617309186,0.663720369626356,0.5044705882352942,0.9021689273311055,0.010181818181818183,0.0
noisy,overdeep,test,0.7923636363636364,0.686579907202228,0.6600823045267491,0.5022789425706473,0.8973784745092874,0.00909090909090909,0.0
noisy,leaky_mid,train,0.8068181818181818,0.7112387313270653,0.6788218793828892,0.552258064516129,0.9026362500821775,0.003909090909090909,1.0
noisy,leaky_mid,test,0.8062727272727273,0.7117119401828956,0.6666666666666666,0.5660220420045748,0.9024471118774454,0.004,1.0
noisy,shuffled_label_control,train,0.07045454545454545,0.0930500378476254,0.0863632282969746,0.19278688524590165,0.0,0.7057272727272728,0.0
noisy,shuffled_label_control,test,0.07127272727272728,0.09429174180213562,0.08516384587684551,0.19771137952956136,0.0,0.6992727272727273,0.0
drifty,raw_external,train,0.42263636363636364,0.34553177610885794,0.1814266487213997,0.28822776711452336,0.5669409124906507,0.17281818181818182,0.0
drifty,raw_external,test,0.4118181818181818,0.33404672227841314,0.16702127659574467,0.2761385503527903,0.5589803398867045,0.17781818181818182,0.0
drifty,finite_mid,train,0.8439090909090909,0.7504901808383556,0.6643109540636042,0.6680900621118012,0.9190695263396618,0.0006363636363636364,0.0
drifty,finite_mid,test,0.8412727272727273,0.7502337252637609,0.6752136752136753,0.6594658287509819,0.9160216718266254,0.001090909090909091,0.0
drifty,overdeep,train,0.8320909090909091,0.7437634671423784,0.6675767918088737,0.6537155790267822,0.9099980305914791,0.001,0.0
drifty,overdeep,test,0.8301818181818181,0.7399001623227329,0.6615384615384615,0.6497730711043873,0.90838895432535,0.0014545454545454545,0.0
drifty,leaky_mid,train,0.8441818181818181,0.7512201225308109,0.6657243816254417,0.6688664596273293,0.9190695263396618,0.0007272727272727272,1.0
drifty,leaky_mid,test,0.8419090909090909,0.7509551412895594,0.675268817204301,0.6613061384585213,0.9162904682058559,0.001090909090909091,1.0
drifty,shuffled_label_control,train,0.05745454545454545,0.06014012436998469,0.0885550154661953,0.09186535764375876,0.0,0.7070909090909091,0.0
drifty,shuffled_label_control,test,0.05718181818181818,0.060563725246612805,0.08748782431594794,0.0936949630151462,0.0005083884087442806,0.7089090909090909,0.0
bursty,raw_external,train,0.552,0.36673372091718287,0.13448134481344814,0.2527543745949449,0.7129654433431556,0.13354545454545455,0.0
bursty,raw_external,test,0.5446363636363636,0.3673696870523508,0.1409108602569093,0.2550450837269214,0.7061531171732215,0.1399090909090909,0.0
bursty,finite_mid,train,0.8630909090909091,0.7274055178824287,0.6261980830670926,0.6242774566473988,0.9317410139327947,0.001,0.0
bursty,finite_mid,test,0.8600909090909091,0.7211243391458795,0.609704641350211,0.6230883078441047,0.9305800682433227,0.001,0.0
bursty,overdeep,train,0.8525454545454545,0.7116265798312525,0.6107178968655207,0.5981402362402614,0.9260216063879757,0.0020909090909090908,0.0
bursty,overdeep,test,0.8535454545454545,0.7167908028457429,0.6196319018404909,0.6047666335650447,0.9259738731316934,0.0017272727272727272,0.0
bursty,leaky_mid,train,0.8635454545454545,0.7286571593235696,0.6283280085197017,0.6257853732093491,0.9318580962416578,0.001090909090909091,1.0
bursty,leaky_mid,test,0.8608181818181818,0.7208372178248975,0.6065747613997879,0.6248456408989875,0.9310912511759171,0.001090909090909091,1.0
bursty,shuffled_label_control,train,0.06072727272727273,0.06473134694263882,0.1407276807180638,0.008431458060764644,0.04503490204908804,0.3191818181818182,0.0
bursty,shuffled_label_control,test,0.05936363636363636,0.06354685851525839,0.14112774769034725,0.008691873098652759,0.04082095475677515,0.3185454545454545,0.0
sparse,raw_external,train,0.625,0.3474540200292778,0.07343941248470012,0.20594862550698512,0.7629740220961481,0.054636363636363636,0.0
sparse,raw_external,test,0.6246363636363637,0.34052659827873416,0.031591737545565005,0.22725274725274727,0.7627353100378902,0.05572727272727273,0.0
sparse,finite_mid,train,0.9219090909090909,0.7191299539226451,0.6067415730337079,0.5890804597701149,0.9615678289641129,9.09090909090909e-05,0.0
sparse,finite_mid,test,0.9191818181818182,0.6838281087619086,0.47761194029850745,0.6141800782949108,0.9596923076923077,0.0001818181818181818,0.0
sparse,overdeep,train,0.9167272727272727,0.7270008837449126,0.6217228464419476,0.6013986013986015,0.9578812033941887,0.0003636363636363636,0.0
sparse,overdeep,test,0.9176363636363636,0.7145308481049119,0.5533980582524273,0.6323051948051948,0.9578892912571133,0.0,0.0
sparse,leaky_mid,train,0.9222727272727272,0.7222993381199693,0.6142322097378277,0.5909961685823755,0.9616696360397048,9.09090909090909e-05,1.0
sparse,leaky_mid,test,0.9192727272727272,0.6857227684863457,0.48241206030150746,0.6151172893136402,0.9596389558438895,0.0001818181818181818,1.0
sparse,shuffled_label_control,train,0.09081818181818181,0.061329490165856,0.0,0.12377138696760104,0.06021708352996697,0.03390909090909091,0.0
sparse,shuffled_label_control,test,0.09936363636363636,0.06659059519136562,0.0,0.14235643030466433,0.05741535526943252,0.03309090909090909,0.0
dense,raw_external,train,0.3841818181818182,0.36635543288272077,0.27233869326277227,0.3664083979005249,0.4603192074848651,0.1549090909090909,0.0
dense,raw_external,test,0.37772727272727274,0.3590120821860139,0.2653893192009784,0.3534942820838628,0.4581526452732003,0.15972727272727272,0.0
dense,finite_mid,train,0.8051818181818182,0.7683791040604695,0.7163480296527508,0.7057363485934913,0.8830529339351663,0.0008181818181818182,0.0
dense,finite_mid,test,0.7920909090909091,0.7568969295090405,0.7139605462822458,0.6833333333333333,0.8733969089115422,0.0006363636363636364,0.0
dense,overdeep,train,0.7868181818181819,0.7504680482767775,0.6965174129353234,0.6863009997298029,0.8685857321652064,0.0020909090909090908,0.0
dense,overdeep,test,0.7785454545454545,0.7469626318862734,0.7093856012061817,0.6715407527755212,0.8599615416771174,0.0009090909090909091,0.0
dense,leaky_mid,train,0.8042727272727273,0.7704902481925231,0.7186629526462397,0.7142095441215677,0.8785982478097621,0.0008181818181818182,1.0
dense,leaky_mid,test,0.789,0.7559727088602344,0.7110766847405112,0.6888948642108094,0.8679465776293823,0.0006363636363636364,1.0
dense,shuffled_label_control,train,0.11790909090909091,0.08217947778506707,0.2153955429281719,0.015104398045313194,0.01603849238171612,0.479,0.0
dense,shuffled_label_control,test,0.12172727272727273,0.08436239503569304,0.2209456473707468,0.012686905301314002,0.01945463243501834,0.48209090909090907,0.0
volatile,raw_external,train,0.26327272727272727,0.25567221432411064,0.24631268436578171,0.21863484821898577,0.30206911038756434,0.33190909090909093,0.0
volatile,raw_external,test,0.2530909090909091,0.24558982533185647,0.2354525056095737,0.2103243808859435,0.2909925895000522,0.3352727272727273,0.0
volatile,finite_mid,train,0.7825454545454545,0.6899258107470615,0.6697841726618705,0.508496450849645,0.8914968087296686,0.009727272727272727,0.0
volatile,finite_mid,test,0.7898181818181819,0.7028214761252695,0.7073529411764705,0.50991626267078,0.8911952245285578,0.008,0.0
volatile,overdeep,train,0.7851818181818182,0.6720829866215364,0.6731543624161074,0.44720182324639157,0.89589277420211,0.016363636363636365,0.0
volatile,overdeep,test,0.7853636363636364,0.6692195858440072,0.6835950551286334,0.4291328268273513,0.894930875576037,0.016545454545454544,0.0
volatile,leaky_mid,train,0.7846363636363637,0.689031488979324,0.6697841726618705,0.5038469993405144,0.8934632949355872,0.010181818181818183,1.0
volatile,leaky_mid,test,0.7930909090909091,0.7036500874803933,0.7062706270627063,0.5104190006721936,0.8942606347062797,0.008272727272727272,1.0
volatile,shuffled_label_control,train,0.11636363636363636,0.06948968512486428,0.20846905537459284,0.0,0.0,0.7019090909090909,0.0
volatile,shuffled_label_control,test,0.1159090909090909,0.06924643584521385,0.20773930753564154,0.0,0.0,0.7070909090909091,0.0
smooth,raw_external,train,0.4869090909090909,0.3754855005657618,0.13254035683942228,0.3728813559322034,0.6210347889256598,0.09936363636363636,0.0
smooth,raw_external,test,0.47954545454545455,0.36251734942316416,0.10932754880694143,0.3618521078092605,0.6163723916532905,0.10072727272727272,0.0
smooth,finite_mid,train,0.8693636363636363,0.7857818814325399,0.6754966887417219,0.7627538385339276,0.9190951170219702,0.0,0.0
smooth,finite_mid,test,0.8710909090909091,0.7699767501183498,0.6284722222222222,0.7589255355321318,0.9225324926006949,0.0,0.0
smooth,overdeep,train,0.8624545454545455,0.7735860859354586,0.6556291390728477,0.7502063727918111,0.9149227459417171,0.0,0.0
smooth,overdeep,test,0.859909090909091,0.7558922174487659,0.6159052453468697,0.7361753124464989,0.915596094552929,0.0,0.0
smooth,leaky_mid,train,0.8682727272727273,0.7846594301608237,0.6758409785932722,0.7587814216747129,0.919355890214486,0.0,1.0
smooth,leaky_mid,test,0.8698181818181818,0.7684586061090574,0.6272577996715928,0.7557147731149777,0.9224032455406016,0.0,1.0
smooth,shuffled_label_control,train,0.25936363636363635,0.16673972122380995,0.0,0.5002191636714298,0.0,0.22236363636363637,0.0
smooth,shuffled_label_control,test,0.2520909090909091,0.16470658113566164,0.0,0.49411974340698495,0.0,0.23172727272727273,0.0
