regime,policy,split,auc_like,top_decile_capture,top_quintile_capture,lift_top_decile,leakage
stable,raw_external,train,0.6991048116374488,0.23759791122715404,0.4412532637075718,2.3759791122715406,0.0
stable,raw_external,test,0.7113823642664613,0.2398921832884097,0.39892183288409705,2.3989218328840964,0.0
stable,finite_mid,train,0.9805296531145095,0.9268929503916449,0.9973890339425587,9.26892950391645,0.0
stable,finite_mid,test,0.9777628032345014,0.9353099730458221,0.9973045822102425,9.353099730458219,0.0
stable,overdeep,train,0.9772211861245804,0.9242819843342036,0.9921671018276762,9.242819843342037,0.0
stable,overdeep,test,0.9778706199460916,0.9299191374663073,0.9919137466307277,9.299191374663073,0.0
stable,leaky_mid,train,0.9805557627750839,0.9268929503916449,0.9973890339425587,9.26892950391645,1.0
stable,leaky_mid,test,0.9777859068155564,0.9353099730458221,0.9973045822102425,9.353099730458219,1.0
stable,shuffled_label_control,train,0.059086161879895564,0.0,0.0,0.0,0.0
stable,shuffled_label_control,test,0.05971505583365422,0.0,0.0,0.0,0.0
noisy,raw_external,train,0.5963285714285714,0.14784205693296604,0.28558310376492196,1.4784205693296602,0.0
noisy,raw_external,test,0.6051857142857143,0.164804469273743,0.3165735567970205,1.6480446927374304,0.0
noisy,finite_mid,train,0.9530938775510204,0.6776859504132231,0.9090909090909091,6.776859504132231,0.0
noisy,finite_mid,test,0.9584081632653061,0.6750465549348231,0.9143389199255121,6.750465549348231,0.0
noisy,overdeep,train,0.949730612244898,0.6620752984389348,0.9136822773186409,6.620752984389347,0.0
noisy,overdeep,test,0.9541224489795919,0.6629422718808193,0.8938547486033519,6.629422718808193,0.0
noisy,leaky_mid,train,0.9526244897959184,0.6786042240587695,0.9127640036730946,6.786042240587696,1.0
noisy,leaky_mid,test,0.9585571428571429,0.6778398510242085,0.9134078212290503,6.778398510242086,1.0
noisy,shuffled_label_control,train,0.0675326530612245,0.0,0.0,0.0,0.0
noisy,shuffled_label_control,test,0.06479591836734694,0.0,0.0,0.0,0.0
drifty,raw_external,train,0.6865563909774436,0.1924812030075188,0.36390977443609024,1.9248120300751879,0.0
drifty,raw_external,test,0.6587097471363734,0.18305597579425115,0.35703479576399394,1.8305597579425115,0.0
drifty,finite_mid,train,0.9677422126745435,0.8406015037593985,0.9669172932330827,8.406015037593985,0.0
drifty,finite_mid,test,0.9737497298465528,0.8366111951588502,0.962178517397882,8.366111951588502,0.0
drifty,overdeep,train,0.964577873254565,0.8330827067669173,0.9699248120300752,8.330827067669173,0.0
drifty,overdeep,test,0.97199049059866,0.8184568835098336,0.962178517397882,8.184568835098336,0.0
drifty,leaky_mid,train,0.9677099892588614,0.8421052631578947,0.9699248120300752,8.421052631578947,1.0
drifty,leaky_mid,test,0.973702182839853,0.8366111951588502,0.962178517397882,8.366111951588502,1.0
drifty,shuffled_label_control,train,0.1268829215896885,0.0,0.0,0.0,0.0
drifty,shuffled_label_control,test,0.12012967365463584,0.0015128593040847202,0.0015128593040847202,0.015128593040847202,0.0
bursty,raw_external,train,0.6912658639765701,0.22095671981776766,0.3917995444191344,2.2095671981776768,0.0
bursty,raw_external,test,0.6925765881973557,0.2144469525959368,0.4198645598194131,2.144469525959368,0.0
bursty,finite_mid,train,0.980374227139603,0.8997722095671982,0.9886104783599089,8.997722095671982,0.0
bursty,finite_mid,test,0.9702128345694937,0.8961625282167043,0.9864559819413092,8.961625282167043,0.0
bursty,overdeep,train,0.979000976244712,0.908883826879271,0.9840546697038725,9.088838268792712,0.0
bursty,overdeep,test,0.9752563689132537,0.90744920993228,0.981941309255079,9.0744920993228,0.0
bursty,leaky_mid,train,0.9801985030914416,0.9020501138952164,0.9886104783599089,9.020501138952165,1.0
bursty,leaky_mid,test,0.9697452434698485,0.8939051918735892,0.9864559819413092,8.939051918735892,1.0
bursty,shuffled_label_control,train,0.9694142531727953,0.8405466970387244,0.979498861047836,8.405466970387243,0.0
bursty,shuffled_label_control,test,0.9613382779748468,0.8216704288939052,0.963882618510158,8.216704288939052,0.0
sparse,raw_external,train,0.7260195360195361,0.3162393162393162,0.4444444444444444,3.1623931623931627,0.0
sparse,raw_external,test,0.7019557823129252,0.21428571428571427,0.40476190476190477,2.142857142857143,0.0
sparse,finite_mid,train,0.994932844932845,1.0,1.0,10.0,0.0
sparse,finite_mid,test,0.99,1.0,1.0,10.0,0.0
sparse,overdeep,train,0.9932356532356532,1.0,1.0,10.0,0.0
sparse,overdeep,test,0.9913945578231292,1.0,1.0,10.0,0.0
sparse,leaky_mid,train,0.9950793650793651,1.0,1.0,10.0,1.0
sparse,leaky_mid,test,0.9899319727891156,1.0,1.0,10.0,1.0
sparse,shuffled_label_control,train,0.08052503052503053,0.0,0.0,0.0,0.0
sparse,shuffled_label_control,test,0.06190476190476191,0.0,0.0,0.0,0.0
dense,raw_external,train,0.6557938775510204,0.17477328936521022,0.34212695795548226,1.7477328936521022,0.0
dense,raw_external,test,0.6512408163265306,0.1926458832933653,0.36530775379696245,1.926458832933653,0.0
dense,finite_mid,train,0.9646857142857143,0.6751854905193735,0.9068425391591096,6.751854905193734,0.0
dense,finite_mid,test,0.9662551020408163,0.6578737010391686,0.9104716227018386,6.578737010391686,0.0
dense,overdeep,train,0.9624591836734694,0.6553998351195384,0.9043693322341303,6.553998351195384,0.0
dense,overdeep,test,0.9671285714285714,0.6610711430855316,0.9128697042366107,6.610711430855315,0.0
dense,leaky_mid,train,0.9645979591836734,0.674361088211047,0.9068425391591096,6.74361088211047,1.0
dense,leaky_mid,test,0.9661816326530612,0.6586730615507594,0.9104716227018386,6.586730615507594,1.0
dense,shuffled_label_control,train,0.8735142857142857,0.46166529266281947,0.6875515251442704,4.616652926628194,0.0
dense,shuffled_label_control,test,0.866834693877551,0.4348521183053557,0.6754596322941646,4.348521183053557,0.0
volatile,raw_external,train,0.5955877551020408,0.13233082706766916,0.28270676691729324,1.3233082706766917,0.0
volatile,raw_external,test,0.6083224489795919,0.1543726235741445,0.29277566539923955,1.5437262357414447,0.0
volatile,finite_mid,train,0.9557081632653062,0.5924812030075188,0.8511278195488722,5.924812030075188,0.0
volatile,finite_mid,test,0.9492285714285714,0.6250950570342205,0.8752851711026616,6.250950570342205,0.0
volatile,overdeep,train,0.9552734693877551,0.5969924812030075,0.8571428571428571,5.969924812030075,0.0
volatile,overdeep,test,0.943434693877551,0.6060836501901141,0.8600760456273764,6.06083650190114,0.0
volatile,leaky_mid,train,0.9558755102040817,0.5924812030075188,0.8511278195488722,5.924812030075188,1.0
volatile,leaky_mid,test,0.949004081632653,0.6258555133079848,0.8760456273764259,6.258555133079848,1.0
volatile,shuffled_label_control,train,0.045748979591836735,0.0,0.0,0.0,0.0
volatile,shuffled_label_control,test,0.05865918367346939,0.0,0.0,0.0,0.0
smooth,raw_external,train,0.7557753759398497,0.3026315789473684,0.5197368421052632,3.026315789473684,0.0
smooth,raw_external,test,0.7366682974559687,0.25,0.4589041095890411,2.5,0.0
smooth,finite_mid,train,0.9870112781954887,0.9703947368421053,0.9967105263157895,9.703947368421053,0.0
