probe_id,policy,accuracy,f1,false_write_rate,missed_write_rate,compressed_bits,leakage,mdl_score
CAC-001,collapse_boundary,1.0,1.0,0.0,0.0,3200,0.0,3200
CAC-001,naive_amplitude,0.9544444444444444,0.3806646525679758,0.028243398392652126,0.5655172413793104,3520,0.0,5160
CAC-001,shuffled_drive,0.9313333333333333,0.0,0.037657864523536165,1.0,3416,0.0,5887
CAC-001,random_write,0.9408888888888889,0.05673758865248227,0.029621125143513203,0.9448275862068966,2992,0.0,5120
NET-001,nodal_net,1.0,1.0,0.0,0.0,1136,0.0,1136
NET-001,flat_node_only,0.737051282051282,0.4424598111763205,0.03164068529093996,0.6718395155185466,1184,0.0,17592
NET-001,shuffled_net,0.8903846153846153,0.7743271221532091,0.02454082420126563,0.2922028766086298,1184,0.0,8024
NET-001,always_release,0.6525641025641026,0.0,0.0,1.0,776,0.0,22456
CAS-001,nested_markov_blankets,1.0,1.0,0.0,0.0,1488,0.0,1488
CAS-001,one_step_threshold,0.8507272727272728,0.7406003159557663,0.12456315526709935,0.21552878179384202,1448,0.0,8015
CAS-001,overcompressed,0.8049090909090909,0.7357793646885004,0.26784822765851224,0.0,1400,0.0,9984
CAS-001,leaky_oracle,0.9998181818181818,0.9996654399464704,0.00024962556165751375,0.0,1384,1.0,101391
