policy,helper_mode,repair_score,repair_gain,identity_restore,scene_restore,direction_restore,score_total,noise_level
always_fresh,noisy,0.9052643222516308,0.5312621833335613,0.9045930022821048,0.9052643222516308,0.9038314826278109,0.8301147045305388,0.0
always_deep,noisy,0.9014642199487624,0.5435537442535195,0.9004983410009055,0.9014642199487624,0.8998019020988155,0.8294396013426505,0.0
adaptive_damage,noisy,0.9064132353663198,0.5401543274133835,0.9058088253109078,0.9064132353663198,0.9052424992890246,0.8328649613530559,0.0
always_fresh,noisy,0.8221682335340952,0.4542773909340502,0.8208779076908639,0.8221682335340952,0.819958822203804,0.7480005881458963,0.15
always_deep,noisy,0.8227493079153667,0.46712075643287654,0.8221683924006813,0.8227493079153667,0.8215996530826836,0.7513349662910292,0.15
adaptive_damage,noisy,0.8256825989374563,0.45439210327483115,0.8247016611405531,0.8256825989374563,0.8240793972177227,0.7509878319875907,0.15
always_fresh,noisy,0.797578416883526,0.4316750832022405,0.7966858338757803,0.797578416883526,0.7960703368674972,0.7239930215433156,0.35
always_deep,noisy,0.7993763429875547,0.4157478141743605,0.7982110645584188,0.7993763429875547,0.7974734415060373,0.7221321463168612,0.35
adaptive_damage,noisy,0.7933809554684496,0.43112819220442183,0.7924140295754559,0.7933809554684496,0.7918135830083414,0.7205019117680291,0.35
always_fresh,noisy,0.7834978809002241,0.41884730685915744,0.7823928954994992,0.7834978809002241,0.7820884526836115,0.7101353547793738,0.55
always_deep,noisy,0.7751742038837166,0.4278627226893819,0.7743439921657393,0.7751742038837166,0.7736428012588282,0.7053161549075211,0.55
adaptive_damage,noisy,0.7852001064069273,0.41161965327727706,0.7842044067480377,0.7852001064069273,0.7834475720483012,0.7100219956954255,0.55
always_fresh,noisy,0.7733667014145663,0.4196095355627902,0.7724788121339384,0.7733667014145663,0.7718589007663088,0.702211520290847,0.75
always_deep,noisy,0.7727797235176802,0.41916227407929785,0.7719661984659294,0.7727797235176802,0.7712978206902592,0.7016712431955404,0.75
adaptive_damage,noisy,0.7786801339457311,0.41387094032869,0.7777899203208729,0.7786801339457311,0.7771884556089822,0.7053165007468388,0.75
