family,noise_level,policy,access_fidelity,repair_score,repair_gain,identity_restore,scene_restore,direction_restore,avg_switch_paid,score_balanced,score_repair_heavy
fibonacci,0.2,always_fresh,0.9691391912553254,0.7281269631490129,0.3600952866030529,0.7863468722368744,0.7281269631490129,0.7261035096446349,0.0,0.7095541256259039,0.6640299036035221
generic_ternary,0.2,always_fresh,0.9467741749521658,0.7674773735239817,0.17283921672009006,0.8245652878109858,0.7674773735239817,0.7662545012288221,0.0,0.7025207665878115,0.6460426159691723
fibonacci,0.2,always_deep,0.9691885268953269,0.7309840586840359,0.35633206340054013,0.7884824246620485,0.7309840586840359,0.7295557744415511,0.0,0.7108376652940989,0.6650520987196951
generic_ternary,0.2,always_deep,0.9462654041200772,0.7620015660362806,0.17612803223880585,0.8199888895409071,0.7620015660362806,0.7610676611596741,0.0,0.6995313163776217,0.6432458839738788
fibonacci,0.2,always_layered,0.9691521003277033,0.7279766005936182,0.3584970222451257,0.7851298002820597,0.7279766005936182,0.7264085829644609,0.0,0.709127541097054,0.6634767995185061
generic_ternary,0.2,always_layered,0.9465771117780339,0.7702885062330039,0.17395507457390236,0.8288864022437961,0.7702885062330039,0.7698003776833344,0.0,0.7048126777123132,0.6484046765199492
fibonacci,0.2,adaptive_context,0.9692112586317849,0.7295873518261989,0.36671921628863474,0.7895646096423848,0.7295873518261989,0.7277295589296074,0.0,0.7117998325946207,0.6667222676292119
generic_ternary,0.2,adaptive_context,0.9465157588211511,0.7679721657433071,0.1695278063940022,0.8284892968520725,0.7679721657433071,0.7674461959918382,0.0,0.7029129046600747,0.6461594392358816
fibonacci,0.3,always_fresh,0.9601064345527408,0.6966856164933903,0.33076641223492204,0.7684041564442287,0.6966856164933903,0.6949960249097883,0.0,0.6849862417215755,0.6376655261584065
generic_ternary,0.3,always_fresh,0.9357904250717658,0.7509490292607609,0.16700569577075242,0.8149509016116184,0.7509490292607609,0.7500359097785393,0.0,0.689789121329756,0.6335314135711776
fibonacci,0.3,always_deep,0.9600263893948493,0.6973635906621835,0.33366570840574133,0.7705338638205294,0.6973635906621835,0.6957030485246894,0.0,0.6860679277233781,0.6389473764421051
generic_ternary,0.3,always_deep,0.9357613502062373,0.7515363832425487,0.164086574967932,0.819911900279905,0.7515363832425487,0.7507202191078635,0.0,0.6903978083294945,0.633895377429537
fibonacci,0.3,always_layered,0.9602011096794805,0.69602227037683,0.3335294610599254,0.7677767656264765,0.69602227037683,0.6942543900826412,0.0,0.6849821090831429,0.6378441543489607
generic_ternary,0.3,always_layered,0.9360235888382219,0.746457166426722,0.1669488689194129,0.8120229332757184,0.746457166426722,0.7458971123809919,0.0,0.6871950632034155,0.6308365136187806
fibonacci,0.3,adaptive_context,0.9601386122709573,0.6973989401196387,0.3307963412251711,0.7695082837855645,0.6973989401196387,0.6955757249303978,0.0,0.685499403987235,0.6381881156153195
generic_ternary,0.3,adaptive_context,0.9357406649224538,0.7511544147431711,0.1654163564070084,0.8213228703556327,0.7511544147431711,0.7503243492763121,0.0,0.6906117145504437,0.634182969169788
fibonacci,0.4,always_fresh,0.9540764634158736,0.6747558136118589,0.3133076488250546,0.7542102420746282,0.6747558136118589,0.6727152374480564,0.0,0.668014796699486,0.6196752577036512
generic_ternary,0.4,always_fresh,0.9291547724372823,0.743278136968259,0.1600065656490096,0.8146346806537247,0.743278136968259,0.7424461965551001,0.0,0.6835414188550222,0.6271703096089563
fibonacci,0.4,always_deep,0.9540375265869103,0.6775121437516022,0.3142269082735219,0.758301258624374,0.6775121437516022,0.6761681641269905,0.0,0.6702412052841757,0.6219485160063883
generic_ternary,0.4,always_deep,0.9290318983871038,0.7389401601145391,0.16906299586762963,0.8127441784283079,0.7389401601145391,0.7381935279126449,0.0,0.6824355410487968,0.626636091916665
fibonacci,0.4,always_layered,0.9540830774421589,0.6801530494944518,0.3121492460133135,0.7617502948660302,0.6801530494944518,0.6786307595821456,0.0,0.6717497278807132,0.6233352014431166
generic_ternary,0.4,always_layered,0.9292282242167869,0.7400712889347093,0.16008787359243457,0.8126623032774302,0.7400712889347093,0.7396122897133914,0.0,0.681724965957994,0.6252906118791074
fibonacci,0.4,adaptive_context,0.9540741426588755,0.6752217883532822,0.31379529539217915,0.7543288563083855,0.6752217883532822,0.6736514450622286,0.0,0.6684087939698429,0.6200881976031198
generic_ternary,0.4,adaptive_context,0.9291396677296484,0.7359882525763103,0.16572938232384826,0.8079755702394169,0.7359882525763103,0.7353308094340159,0.0,0.6797791862472304,0.6237219510977747
