train_set,pack,scenario,accuracy
uniform_only,baseline_six,cross_family_0.00,0.8448524118070554
uniform_only,baseline_six,cross_family_0.15,0.8187565858798735
uniform_only,baseline_six,cross_family_0.30,0.7544889502762431
uniform_only,baseline_six,cross_family_0.45,0.7501818181818182
uniform_only,baseline_six,cross_family_0.60,0.7490082942661378
uniform_only,baseline_six,current,0.8433647570703409
uniform_only,baseline_six,delayed_uniform_0.00,0.8461265103056148
uniform_only,baseline_six,delayed_uniform_0.15,0.8125221082419526
uniform_only,baseline_six,delayed_uniform_0.30,0.7836172526277637
uniform_only,baseline_six,delayed_uniform_0.45,0.7691466083150985
uniform_only,baseline_six,delayed_uniform_0.60,0.761124955500178
uniform_only,baseline_six,gaussian_mix_0.00,0.8528687082013375
uniform_only,baseline_six,gaussian_mix_0.15,0.8504805980776077
uniform_only,baseline_six,gaussian_mix_0.30,0.860621030345801
uniform_only,baseline_six,gaussian_mix_0.45,0.8336902212705211
uniform_only,baseline_six,gaussian_mix_0.60,0.7884068278805121
uniform_only,baseline_six,permute_mix_0.00,0.8367716250452407
uniform_only,baseline_six,permute_mix_0.15,0.8540172166427547
uniform_only,baseline_six,permute_mix_0.30,0.8611111111111112
uniform_only,baseline_six,permute_mix_0.45,0.7947966288017588
uniform_only,baseline_six,permute_mix_0.60,0.6575637800934243
uniform_only,baseline_six,uniform_mix_0.00,0.8512747875354107
uniform_only,baseline_six,uniform_mix_0.15,0.8313953488372093
uniform_only,baseline_six,uniform_mix_0.30,0.9471050750536097
uniform_only,baseline_six,uniform_mix_0.45,0.9512544802867383
uniform_only,baseline_six,uniform_mix_0.60,0.9340659340659341
uniform_only,rank_shape_only,cross_family_0.00,1.0
uniform_only,rank_shape_only,cross_family_0.15,1.0
uniform_only,rank_shape_only,cross_family_0.30,1.0
uniform_only,rank_shape_only,cross_family_0.45,1.0
uniform_only,rank_shape_only,cross_family_0.60,1.0
uniform_only,rank_shape_only,current,1.0
uniform_only,rank_shape_only,delayed_uniform_0.00,1.0
uniform_only,rank_shape_only,delayed_uniform_0.15,1.0
uniform_only,rank_shape_only,delayed_uniform_0.30,1.0
uniform_only,rank_shape_only,delayed_uniform_0.45,1.0
uniform_only,rank_shape_only,delayed_uniform_0.60,1.0
uniform_only,rank_shape_only,gaussian_mix_0.00,1.0
uniform_only,rank_shape_only,gaussian_mix_0.15,1.0
uniform_only,rank_shape_only,gaussian_mix_0.30,1.0
uniform_only,rank_shape_only,gaussian_mix_0.45,1.0
uniform_only,rank_shape_only,gaussian_mix_0.60,1.0
uniform_only,rank_shape_only,permute_mix_0.00,1.0
uniform_only,rank_shape_only,permute_mix_0.15,1.0
uniform_only,rank_shape_only,permute_mix_0.30,1.0
uniform_only,rank_shape_only,permute_mix_0.45,1.0
uniform_only,rank_shape_only,permute_mix_0.60,0.996406755300036
uniform_only,rank_shape_only,uniform_mix_0.00,1.0
uniform_only,rank_shape_only,uniform_mix_0.15,1.0
uniform_only,rank_shape_only,uniform_mix_0.30,1.0
uniform_only,rank_shape_only,uniform_mix_0.45,1.0
uniform_only,rank_shape_only,uniform_mix_0.60,1.0
uniform_only,helper_rank_only,cross_family_0.00,0.749820014398848
uniform_only,helper_rank_only,cross_family_0.15,0.7653670530382859
uniform_only,helper_rank_only,cross_family_0.30,0.7451657458563536
uniform_only,helper_rank_only,cross_family_0.45,0.7501818181818182
uniform_only,helper_rank_only,cross_family_0.60,0.7490082942661378
uniform_only,helper_rank_only,current,0.7400290065264684
uniform_only,helper_rank_only,delayed_uniform_0.00,0.7484008528784648
uniform_only,helper_rank_only,delayed_uniform_0.15,0.7569862044570216
uniform_only,helper_rank_only,delayed_uniform_0.30,0.7509967379485321
uniform_only,helper_rank_only,delayed_uniform_0.45,0.7472647702407003
