sampler,alpha,seed,regime,friction,distribution_l1,repeat_rate,coverage,mean_surprise,max_duplicate_run
phi_inv,0.6180339887498948,1618,smooth,0.1900405625569931,0.012624529271997163,0.0,1.0,0.8326784219221723,1533.0
phi_inv,0.6180339887498948,1618,balanced,0.24675064137318012,0.013404684261347194,0.0,1.0,0.998153311735941,1592.0
phi_inv,0.6180339887498948,1618,spiky,0.23534915314555394,0.007484177215188778,0.3089430894308943,1.0,0.5532704840440446,1554.0
phi_inv,0.6180339887498948,1618,bursty,0.24611034837950854,0.0302828767862683,0.0150093808630394,1.0,0.9385822183746647,1581.0
phi_inv,0.6180339887498948,1618,drifting,0.2364335648727441,0.012176475595477729,0.0,1.0,0.9385310759988124,1585.0
phi_inv,0.6180339887498948,1618,inverted,0.22269782969848578,0.006677215189873409,0.07567229518449031,1.0,0.7695566986143598,1579.0
phi_inv,0.6180339887498948,2718,smooth,0.19005758821581345,0.015930621826366842,0.0,1.0,0.8320688409353967,1538.0
phi_inv,0.6180339887498948,2718,balanced,0.2467599370696644,0.010652515898489076,0.0,1.0,0.9981958147682102,1592.0
phi_inv,0.6180339887498948,2718,spiky,0.2355724095357748,0.0028797468354450073,0.31769856160100063,1.0,0.5516856235620133,1559.0
phi_inv,0.6180339887498948,2718,bursty,0.25089945695258264,0.050533736546465355,0.013758599124452783,1.0,0.937567794153815,1581.0
phi_inv,0.6180339887498948,2718,drifting,0.2358057148097501,0.011144077264357843,0.0012507817385866166,1.0,0.9370680028850624,1590.0
phi_inv,0.6180339887498948,2718,inverted,0.22306752169977773,0.007405063291138866,0.07254534083802376,1.0,0.7737111876761624,1580.0
phi_inv,0.6180339887498948,3141,smooth,0.18716321643888656,0.014304474844527924,0.0,1.0,0.8321537854639364,1571.0
phi_inv,0.6180339887498948,3141,balanced,0.24852384485710838,0.010324263921812724,0.0,1.0,0.9982366369830072,1592.0
phi_inv,0.6180339887498948,3141,spiky,0.23851664542717707,0.006439873417722508,0.3158223889931207,1.0,0.5520592796292076,1563.0
phi_inv,0.6180339887498948,3141,bursty,0.24199890831087453,0.02658556723401545,0.013133208255159476,1.0,0.9390882021155277,1577.0
phi_inv,0.6180339887498948,3141,drifting,0.23347158032005505,0.009254319501023928,0.0,1.0,0.9397695424006691,1563.0
phi_inv,0.6180339887498948,3141,inverted,0.22548461733639866,0.011503164556962209,0.07129455909943715,1.0,0.7780339819619009,1581.0
phi_inv,0.6180339887498948,4159,smooth,0.19194388886917968,0.0175102241613022,0.0,1.0,0.8320162848407625,1550.0
phi_inv,0.6180339887498948,4159,balanced,0.2470993920683845,0.005925566511012531,0.0,1.0,0.9981369973164095,1592.0
phi_inv,0.6180339887498948,4159,spiky,0.23875141083749565,0.005379746835441401,0.316447779862414,1.0,0.5526648818366261,1561.0
phi_inv,0.6180339887498948,4159,bursty,0.24630880715194362,0.0267937716123771,0.016260162601626018,1.0,0.9371371467484728,1577.0
phi_inv,0.6180339887498948,4159,drifting,0.2349596159060141,0.007289788185442236,0.0006253908692933083,1.0,0.9396648812786647,1576.0
phi_inv,0.6180339887498948,4159,inverted,0.22245555206014403,0.009018987341772741,0.07066916823014384,1.0,0.7737111876761624,1566.0
sqrt2_minus_1,0.41421356237309515,1618,smooth,0.19289011159774283,0.02541975738443754,0.0,1.0,0.83452082967906,1570.0
sqrt2_minus_1,0.41421356237309515,1618,balanced,0.24675623374390912,0.006110336280242101,0.0,1.0,0.9984208108978951,1591.0
sqrt2_minus_1,0.41421356237309515,1618,spiky,0.24321166390713636,0.006075949367088149,0.31894934333958724,1.0,0.5517758597752674,1563.0
sqrt2_minus_1,0.41421356237309515,1618,bursty,0.24665684942863494,0.03213315537147572,0.008130081300813009,1.0,0.9383098022227176,1579.0
sqrt2_minus_1,0.41421356237309515,1618,drifting,0.23820577079203917,0.00795711592794053,0.0,1.0,0.9383151963771738,1587.0
sqrt2_minus_1,0.41421356237309515,1618,inverted,0.20949993663561595,0.005806962025316498,0.041901188242651655,1.0,0.7719220673602607,1576.0
sqrt2_minus_1,0.41421356237309515,2718,smooth,0.1915856172818791,0.015061061826601954,0.0,1.0,0.8321471663415513,1534.0
sqrt2_minus_1,0.41421356237309515,2718,balanced,0.245670833211626,0.011847891165210844,0.0,1.0,0.9981964325513225,1588.0
sqrt2_minus_1,0.41421356237309515,2718,spiky,0.23987875937963987,0.010189873417721304,0.31207004377736086,1.0,0.552432935696402,1546.0
sqrt2_minus_1,0.41421356237309515,2718,bursty,0.24206951574529006,0.012743377284925278,0.010006253908692933,1.0,0.9340912495320421,1567.0
sqrt2_minus_1,0.41421356237309515,2718,drifting,0.23763482762523352,0.013493356369510462,0.0,1.0,0.938689975116544,1588.0
sqrt2_minus_1,0.41421356237309515,2718,inverted,0.21088936573819178,0.008813291139240453,0.04252657911194497,1.0,0.7724745382041961,1580.0
sqrt2_minus_1,0.41421356237309515,3141,smooth,0.18941972312939864,0.010677159090370376,0.0,1.0,0.8296341257538855,1564.0
