family,noise_level,wrong_variant,access_fidelity,repair_score,repair_gain,identity_restore,scene_restore,direction_restore,avg_switch_paid,score_balanced,score_repair_heavy
fibonacci,0.2,rolled,0.9691557131434585,0.6074594109949857,0.6074594109949857,0.7059467952978857,0.6074594109949857,0.607423697331512,0.0,0.6745664220205942,0.644647629688861
generic_ternary,0.2,rolled,0.9466680920413306,0.8381946169408814,0.23320240992252483,0.9222606984218308,0.8381946169408814,0.8381467043385268,0.0,0.7617432062400069,0.7098776085559944
fibonacci,0.2,reversed,0.9691715450069777,0.6072746106922546,0.6072746106922546,0.7058191437533776,0.6072746106922546,0.6072561405210277,0.0,0.6744329069886836,0.6444966304214559
generic_ternary,0.2,reversed,0.946266079723889,0.7968926952672297,0.3213080332551224,0.8993812328534526,0.7968926952672297,0.7968165988023118,0.0,0.7507915390249412,0.7045296613749448
fibonacci,0.2,permuted,0.9691239683009949,0.6679188166309334,0.5201500351277891,0.7534940687147791,0.6679188166309334,0.6680164320662935,0.0,0.6988454598673549,0.6635445997359235
generic_ternary,0.2,permuted,0.9464216192124261,0.8042435800783715,0.30754607436699494,0.9019466322798253,0.8042435800783715,0.804436127922242,0.0,0.7528589020552745,0.7057291756105458
fibonacci,0.2,cross_family,0.9691239194113352,0.7433893840654103,0.6443828173515498,0.853280233967973,0.7433893840654103,0.7433193645427657,0.0,0.7701584306845038,0.7440738006639663
generic_ternary,0.2,cross_family,0.9467785365508531,0.5706499177887401,0.4735606474001401,0.6888452240444445,0.5706499177887401,0.5708365307472495,0.0,0.6290695388650047,0.5909917167263513
fibonacci,0.3,rolled,0.9600852861422425,0.5602459850062865,0.5602459850062865,0.6798327891396441,0.5602459850062865,0.5602605442802687,0.0,0.6381540497445787,0.6049703096486696
generic_ternary,0.3,rolled,0.9358469811455592,0.8243134246474179,0.21650714291362738,0.9191528347649467,0.8243134246474179,0.8242671698945734,0.0,0.7496681669916803,0.6972529613869306
fibonacci,0.3,reversed,0.9600397145258255,0.5598348759955191,0.5598348759955191,0.6800379046120364,0.5598348759955191,0.5598058746007936,0.0,0.6379019477848491,0.6046849804859957
generic_ternary,0.3,reversed,0.93556289503633,0.781104421222909,0.30028296696117707,0.8963275013767853,0.781104421222909,0.7808311311642333,0.0,0.7371153663606134,0.6899626203586136
fibonacci,0.3,permuted,0.9601424520613007,0.6309688499695786,0.47724489137816845,0.7343789001662151,0.6309688499695786,0.6309452549621618,0.0,0.6692529448775943,0.6311254588572625
generic_ternary,0.3,permuted,0.9358797539258276,0.7841009477980646,0.29124009422425673,0.896675243538248,0.7841009477980646,0.7839275279913868,0.0,0.7373877123775718,0.6896280761701165
fibonacci,0.3,cross_family,0.9601967395913519,0.696284809955268,0.5972887420809266,0.8317064241629528,0.696284809955268,0.696325377950683,0.0,0.7345371130317985,0.7051381893678603
generic_ternary,0.3,cross_family,0.9358677651340597,0.5516032787790152,0.45478296671424007,0.6828697747692046,0.5516032787790152,0.5514713895372635,0.0,0.6136033202525735,0.5747786690018213
fibonacci,0.4,rolled,0.954089494591201,0.5323827712454638,0.5323827712454638,0.6663136541505803,0.5323827712454638,0.532436920219412,0.0,0.616821870696471,0.5817433165510635
generic_ternary,0.4,rolled,0.9296621376124662,0.8150165908399182,0.20666330798465615,0.9175382225801014,0.8150165908399182,0.8152296830909538,0.0,0.7421029163648213,0.6893106718931956
fibonacci,0.4,reversed,0.9541595441686075,0.532260220448675,0.532260220448675,0.6660655655573665,0.532260220448675,0.5322259823193624,0.0,0.6167057512395684,0.5816174637973525
generic_ternary,0.4,reversed,0.9293106598639741,0.766968155602887,0.2916324703123403,0.8932438049158531,0.766968155602887,0.766879289791802,0.0,0.7270643211868045,0.679545109673004
fibonacci,0.4,permuted,0.9540376270092616,0.6022063274348469,0.4576738812183721,0.718373203855408,0.6022063274348469,0.6023095629619024,0.0,0.6483332372094012,0.6089026314677364
generic_ternary,0.4,permuted,0.9292286639298586,0.7763850149875355,0.2784137184936942,0.8964368171960302,0.7763850149875355,0.7763518136339744,0.0,0.7302608404301639,0.6819764998058024
fibonacci,0.4,cross_family,0.9540274727395414,0.6658419119993554,0.5668883976685206,0.8171540574851115,0.6658419119993554,0.665773484203554,0.0,0.7113225546512606,0.6798312637238197
generic_ternary,0.4,cross_family,0.9293407908760313,0.5412387846255658,0.4436106924263771,0.6830339105543872,0.5412387846255658,0.5412031741999178,0.0,0.6054788993712565,0.5661806016792704
