family,mode,access_fidelity,repair_score,repair_gain,identity_restore,scene_restore,direction_restore,score_raw,profile,access_cost,score_net
binary_abelian,current,0.9986284805276854,0.8826538976701543,0.4833936514452708,0.8830820707887674,0.8826538976701543,0.8823168541310258,0.8459734467448508,light_cost,0.02,0.8259734467448507
binary_abelian,high_noise,0.9299228670521447,0.6709553321512373,0.2733613436618438,0.7764570438062086,0.6709553321512373,0.6703120872514519,0.6788385108712877,light_cost,0.01,0.6688385108712877
binary_abelian,no_helper,0.9981678168991015,0.772350844900363,0.37286913750800454,0.7720846173484341,0.772350844900363,0.7717541875459519,0.757462550455306,light_cost,0.0,0.757462550455306
binary_abelian,illegal_truth,0.9995310680431728,0.8800358402108609,0.4867275541874975,0.8805729426066465,0.8800358402108609,0.8793525868968739,0.8449167202360885,light_cost,0.08,0.7649167202360886
generic_ternary,current,0.9900899252765611,0.8569335005843767,0.26814825051705166,0.8617927787091401,0.8569335005843767,0.8559616128344435,0.7958301065689393,light_cost,0.02,0.7758301065689392
generic_ternary,high_noise,0.9223489625370954,0.7355711896767557,0.1556348449778806,0.8160499365746311,0.7355711896767557,0.7348372478802705,0.6978980133092009,light_cost,0.01,0.6878980133092009
generic_ternary,no_helper,0.9845694113893162,0.7653485510607229,0.17492066198940745,0.7634780320088875,0.7653485510607229,0.7645222991522662,0.7202240241217004,light_cost,0.0,0.7202240241217004
generic_ternary,illegal_truth,0.9960030427969003,0.8555967398358575,0.27330468935839775,0.8615752492673248,0.8555967398358575,0.8553447654819419,0.7971931731180799,light_cost,0.08,0.71719317311808
fibonacci,current,0.9997373747598285,0.9046031419879771,0.5303179342835119,0.9038461665312738,0.9046031419879771,0.9032894059278025,0.8671766006591458,light_cost,0.02,0.8471766006591458
fibonacci,high_noise,0.947965139340957,0.6626855352898385,0.2932201783484942,0.7512614721278974,0.6626855352898385,0.6605740520878662,0.6772913206042736,light_cost,0.01,0.6672913206042735
fibonacci,no_helper,0.999581274776063,0.7857178633386755,0.42476632339815384,0.7847069433832555,0.7857178633386755,0.7839489887207433,0.773930845449072,light_cost,0.0,0.773930845449072
fibonacci,illegal_truth,0.9998974368361574,0.9044583267441948,0.538940421765795,0.903687401256149,0.9044583267441948,0.9030814206155839,0.8683962882733287,light_cost,0.08,0.7883962882733287
tribonacci_control,current,0.999319776257209,0.888722022940344,0.476627241879136,0.888595358554147,0.888722022940344,0.8880271915226273,0.8489041320739488,light_cost,0.02,0.8289041320739488
tribonacci_control,high_noise,0.9341903049624128,0.6747471344301734,0.2640398374980832,0.7747998645632046,0.6747471344301734,0.6735284217484351,0.6798547766145017,light_cost,0.01,0.6698547766145017
tribonacci_control,no_helper,0.9992156029706313,0.7780216727437584,0.3619691283941326,0.7777577666810624,0.7780216727437584,0.7773111243544043,0.7597064089688815,light_cost,0.0,0.7597064089688815
tribonacci_control,illegal_truth,0.9997999296261944,0.8876883307531089,0.478375548562717,0.8876523101084856,0.8876883307531089,0.8870700700204885,0.8486155909925808,light_cost,0.08,0.7686155909925808
binary_abelian,current,0.9986284805276854,0.8826538976701543,0.4833936514452708,0.8830820707887674,0.8826538976701543,0.8823168541310258,0.8459734467448508,strict_cheat,0.02,0.8259734467448507
binary_abelian,high_noise,0.9299228670521447,0.6709553321512373,0.2733613436618438,0.7764570438062086,0.6709553321512373,0.6703120872514519,0.6788385108712877,strict_cheat,0.01,0.6688385108712877
binary_abelian,no_helper,0.9981678168991015,0.772350844900363,0.37286913750800454,0.7720846173484341,0.772350844900363,0.7717541875459519,0.757462550455306,strict_cheat,0.0,0.757462550455306
binary_abelian,illegal_truth,0.9995310680431728,0.8800358402108609,0.4867275541874975,0.8805729426066465,0.8800358402108609,0.8793525868968739,0.8449167202360885,strict_cheat,0.18,0.6649167202360886
generic_ternary,current,0.9900899252765611,0.8569335005843767,0.26814825051705166,0.8617927787091401,0.8569335005843767,0.8559616128344435,0.7958301065689393,strict_cheat,0.02,0.7758301065689392
generic_ternary,high_noise,0.9223489625370954,0.7355711896767557,0.1556348449778806,0.8160499365746311,0.7355711896767557,0.7348372478802705,0.6978980133092009,strict_cheat,0.01,0.6878980133092009
generic_ternary,no_helper,0.9845694113893162,0.7653485510607229,0.17492066198940745,0.7634780320088875,0.7653485510607229,0.7645222991522662,0.7202240241217004,strict_cheat,0.0,0.7202240241217004
generic_ternary,illegal_truth,0.9960030427969003,0.8555967398358575,0.27330468935839775,0.8615752492673248,0.8555967398358575,0.8553447654819419,0.7971931731180799,strict_cheat,0.18,0.61719317311808
