family,noise_level,wrong_variant,access_fidelity,repair_score,repair_gain,identity_restore,scene_restore,direction_restore,avg_switch_paid,score_balanced,score_repair_heavy,seed
fibonacci,0.2,permuted,0.9691737329840321,0.6709920736272896,0.5174695293699206,0.7555619698307727,0.6709920736272896,0.6709907144008062,0.0,0.7002853044065827,0.6648385625593168,20260526
generic_ternary,0.2,permuted,0.9468518418807418,0.8025962911169747,0.3102466356541155,0.9016090623127796,0.8025962911169747,0.8023134604522888,0.0,0.7524044440299672,0.7054235379077418,20260526
fibonacci,0.2,cross_family,0.9692271759525188,0.7430255437835102,0.6438564120228552,0.8529051205101834,0.7430255437835102,0.7430493724420731,0.0,0.7698760112609991,0.7437380542640377,20260526
generic_ternary,0.2,cross_family,0.9464124307999998,0.5727526455278364,0.4749009006775876,0.6890866907399045,0.5727526455278364,0.5727293107220937,0.0,0.6302534474156806,0.5923488687425564,20260526
fibonacci,0.3,permuted,0.9600572074550586,0.6293335924563855,0.4778065367126628,0.7330442681763122,0.6293335924563855,0.6292249008995556,0.0,0.6682895547190263,0.6301930994377141,20260526
generic_ternary,0.3,permuted,0.9359342833840784,0.7845342149007581,0.29184566202314,0.8974348753344574,0.7845342149007581,0.7844009951991127,0.0,0.7378260617755875,0.690103511976234,20260526
fibonacci,0.3,cross_family,0.9600806728751269,0.6961797422860284,0.5973018391320776,0.831650166499845,0.6961797422860284,0.696277637160343,0.0,0.7344634907939752,0.7050703641402168,20260526
generic_ternary,0.3,cross_family,0.9359743350634784,0.5530361565181368,0.4555195085386197,0.6849182767200478,0.5530361565181368,0.5530409448301469,0.0,0.6147793313073657,0.5759990510475526,20260526
fibonacci,0.4,permuted,0.954003053408438,0.6022882749463068,0.45753315539248995,0.718381836200094,0.6022882749463068,0.6023412431244669,0.0,0.6483399421204527,0.6089063174532691,20260526
generic_ternary,0.4,permuted,0.9289124594744582,0.7753189830500646,0.27974684674203976,0.8951602450519448,0.7753189830500646,0.7751292662451796,0.0,0.7296495896682889,0.6814831352330011,20260526
fibonacci,0.4,cross_family,0.9540213356627165,0.6658143350877819,0.566930449308423,0.8180596118754352,0.6658143350877819,0.6658310327872282,0.0,0.7114624485089299,0.6799607288055312,20260526
generic_ternary,0.4,cross_family,0.9293583709967548,0.5406761964160368,0.44391071899194506,0.6819394518201046,0.5406761964160368,0.5406838136926003,0.0,0.6050884406206614,0.5658072698166486,20260526
fibonacci,0.2,permuted,0.9691755123867113,0.6687688232838189,0.5212903173436046,0.7541286532683203,0.6687688232838189,0.6686428562350534,0.0,0.6995134646537257,0.6643101341622726,20260527
generic_ternary,0.2,permuted,0.9463721263884761,0.8056662601903286,0.30550011058091714,0.9029689340565143,0.8056662601903286,0.8054487330792388,0.0,0.7533452830018107,0.706115032850193,20260527
fibonacci,0.2,cross_family,0.969074020426535,0.7410476493772074,0.6421530013819332,0.8520689240808724,0.7410476493772074,0.7411137257826989,0.0,0.7684818290541553,0.7422035774432285,20260527
generic_ternary,0.2,cross_family,0.946851734811911,0.5726371657324663,0.47466243196432206,0.6886330037635849,0.5726371657324663,0.5724107777853666,0.0,0.6301492869957365,0.5922052511226547,20260527
fibonacci,0.3,permuted,0.9600621389090458,0.6275789915113883,0.479931223937882,0.7320859260154964,0.6275789915113883,0.6274228585815051,0.0,0.6675810760910276,0.6296098178705226,20260527
generic_ternary,0.3,permuted,0.9359703868833504,0.7861378026454561,0.2907273629296268,0.8978739021315918,0.7861378026454561,0.7860079872541492,0.0,0.7385336961498848,0.6907574884054493,20260527
